|            RA |            DEC | FCC | Mem |            MType | BTmag |
| 53.3110490197 | -37.8196469114 | 117 |   1 |              dE0 |  18.2 |
| 53.3797878878 | -34.4540450192 | 118 |   1 |            dE0,N |  17.6 |
| 53.4264919695 | -32.4233733334 | 122 |   1 |              dS0 |  17.3 |
| 53.4537755225 | -34.1682191028 | 124 |   1 |        dE3 + ImV |  18.0 |
|  53.451582847 | -35.8346167527 | 125 |   1 |              dE4 |  18.7 |
| 53.4802113293 | -34.3452683545 | 126 |   1 |              dE0 |  20.4 |
| 53.5243167522 | -35.2751721354 | 127 |   2 |             dE3? |  19.8 |
| 53.5503809246 |  -35.226662175 | 131 |   2 |              dE3 |  20.3 |
| 53.5757357438 |  -35.793155978 | 132 |   2 |              dE2 |  18.5 |
| 53.5836926266 | -35.3606824491 | 133 |   1 |            dE0,N |  17.5 |
| 53.5902445161 | -34.5912555605 | 134 |   2 |   dE5 pec,N or E |  17.6 |
| 53.6281166972 | -34.2961225946 | 135 |   1 |         dS0(5),N |  15.5 |
| 53.6225275372 | -35.5447248832 | 136 |   1 |            dE2,N |  14.8 |
| 53.6834461906 | -35.8599662108 | 137 |   1 |            dE0,N |  16.9 |
| 53.7139451356 | -36.3217570734 | 138 |   2 |              dE2 |  18.6 |
| 53.7348047837 | -35.1896043039 | 140 |   1 |            dE4,N |  19.0 |
| 53.7380401719 |  -35.205172675 | 141 |   2 |              dE4 |  19.7 |
| 53.7423263028 | -35.0410210448 | 142 |   1 |            dE2,N |  18.5 |
| 53.7506681804 |  -35.320778836 | 144 |   1 |              dE0 |  19.2 |
| 53.7724840386 |  -35.216974188 | 145 |   1 |              dE0 |  19.6 |
| 53.7976510891 | -35.3215182123 | 146 |   2 |            dE4,N |  19.5 |
| 53.8488057392 | -36.0900600434 | 149 |   2 |               dE |  19.9 |
| 53.8496620965 | -36.3622885814 | 150 |   1 |            dE4,N |  15.7 |
| 53.8553503361 | -36.1773088444 | 151 |   1 |           dE0,N? |  18.0 |
| 53.8766618032 | -35.2498823759 | 154 |   1 |              dE3 |  19.2 |
| 53.8909143506 | -34.8032668476 | 155 |   1 |              dE2 |  18.3 |
| 53.9277124766 | -35.3367500201 | 156 |   1 |              dE1 |  17.2 |
| 53.9279218588 |  -35.512586048 | 157 |   1 |           dE0,N? |  18.3 |
| 53.9425545382 |  -35.988204089 | 158 |   1 |            dE6,N |  16.8 |
| 53.9814319305 | -34.8263997268 | 159 |   1 |            dE3,N |  18.1 |
| 54.0163991974 | -35.3873761934 | 160 |   1 |            dE1,N |  17.7 |
| 54.0302724627 |  -35.432153345 | 162 |   1 |              dE0 |  20.0 |
| 54.0282567172 |  -35.841316499 | 163 |   1 |              dE0 |  19.8 |
| 54.0533418165 |  -36.165029612 | 164 |   1 |         dS0(5),N |  16.4 |
| 54.0977015922 | -35.9099232875 | 165 |   1 |              dE6 |  17.5 |
| 54.0992268447 | -37.1621653535 | 166 |   2 |            dE3,N |  18.1 |
| 54.1155841579 | -35.2091526809 | 168 |   1 |              dE0 |  18.7 |
| 54.1296189189 | -34.8008701766 | 169 |   1 |              dE2 |  17.2 |
| 54.1557156148 | -35.3845900686 | 171 |   2 |           dE0,N? |  17.9 |
| 54.1524422909 |  -37.363487911 | 172 |   2 |              dE4 |  20.4 |
| 54.1790832778 | -34.1577245771 | 173 |   1 |        dE3 / ImV |  18.0 |
| 54.1889017127 | -33.0121959416 | 174 |   2 |   dE1,N or E(cD) |  16.7 |
| 54.1778767867 | -35.4341221836 | 175 |   2 |              dE3 |  18.8 |
| 54.2020916802 | -34.2786496554 | 178 |   1 |            dE3,N |  17.2 |
| 54.2047265958 | -36.2281253106 | 180 |   1 |              dS0 |  18.0 |
| 54.2211411016 | -34.9367870638 | 181 |   1 |            dE2,N |  17.2 |
| 54.2198008253 | -36.4848541227 | 183 |   1 |         dS0(7),N |  17.2 |
| 54.2610138568 | -34.8738877657 | 185 |   1 |              dE3 |  19.5 |
| 54.2423899518 | -38.1330173149 | 186 |   2 |              dE4 |  17.8 |
| 54.2696700131 | -34.6016967478 | 187 |   1 |              dE5 |  17.5 |
| 54.2688552436 | -35.5886485087 | 188 |   1 |            dE0,N |  16.1 |
|  54.283894833 | -34.7298096611 | 189 |   2 |            dE4,N |  18.8 |
| 54.2912693071 | -35.3854012442 | 191 |   2 |              dE3 |  19.3 |
| 54.2916062601 | -35.8867968926 | 192 |   2 |              dE0 |  19.6 |
| 54.3243431551 | -35.6972015642 | 194 |   2 |              dE3 |  18.2 |
| 54.3469477956 | -34.8986709454 | 195 |   1 |            dE5,N |  16.7 |
| 54.3909236435 | -35.8277432039 | 196 |   1 |              dE6 |  17.7 |
| 54.4202967451 | -35.2947977152 | 197 |   1 |              dE3 |  19.1 |
| 54.4274026836 | -37.2073469284 | 198 |   1 |              dE5 |  17.9 |
|  54.477628491 |  -34.880575064 | 200 |   1 |              dE2 |  17.4 |
| 54.4731108294 | -37.2783614712 | 201 |   1 |              dE4 |  16.7 |
| 54.5267290233 | -35.4382749438 | 202 |   1 |           d:E6,N |  15.3 |
| 54.5379720448 | -34.5169205993 | 203 |   1 |            dE6,N |  15.5 |
| 54.5567510904 | -33.1253136756 | 204 |   1 |         dS0(8),N |  14.9 |
|   54.52949781 | -38.0941491713 | 205 |   1 |           dE1,N? |  16.9 |
| 54.5557862736 | -37.2884103729 | 206 |   1 |          dE0 pec |  15.8 |
| 54.5797201095 | -35.1273698533 | 207 |   1 |            dE2,N |  15.9 |
| 54.5777507607 | -35.5290330858 | 208 |   1 |            dE2,N |  17.3 |
| 54.5932379831 | -33.6585188929 | 209 |   2 |            dE5,N |  18.7 |
| 54.5795243583 | -36.0643237488 | 210 |   1 |              dE0 |  18.7 |
| 54.5889256026 | -35.2582409857 | 211 |   2 |           d:E2,N |  16.3 |
|  54.586976058 | -36.4118570692 | 212 |   1 |             dE1? |  17.6 |
| 54.6520281462 | -35.8323856867 | 214 |   1 |              dE0 |  19.0 |
| 54.6562331353 | -35.7554570328 | 215 |   2 |            dE,N? |  19.2 |
| 54.6630129916 | -36.5566038753 | 216 |   2 |              dE0 |  19.2 |
| 54.6727852741 | -36.7255333413 | 217 |   2 |         dE / ImV |  19.7 |
| 54.6886892815 | -35.2644689985 | 218 |   1 |              dE4 |  18.5 |
| 54.7291993844 | -35.2351846129 | 220 |   1 |              dE2 |  19.5 |
| 54.7735083682 | -36.0973140449 | 221 |   2 |            dE4,N |  17.7 |
| 54.8053294148 | -35.3696543556 | 222 |   1 |            dE0,N |  15.6 |
| 54.8310718571 | -35.7233714005 | 223 |   1 |            dE0,N |  16.2 |
| 54.9066992732 | -36.5520140136 | 225 |   2 |              dE4 |  19.6 |
| 54.9587670997 |  -35.021092648 | 226 |   1 |              dE? |  17.8 |
| 54.9586989854 | -35.5210978421 | 227 |   1 |           dE0,N? |  19.3 |
|  54.963640794 | -35.3205597112 | 228 |   1 |              dE0 |  18.8 |
| 54.9798983853 | -35.6609058069 | 229 |   1 |              dE0 |  19.1 |
| 55.0048253179 | -34.7565505169 | 230 |   1 |            dE5,N |  17.2 |
| 55.0186736692 | -34.1660436692 | 231 |   1 |           dE0,N? |  18.4 |
| 55.0304236338 | -32.3177378767 | 232 |   1 |            dE7,N |  17.4 |
| 55.0411693105 |  -34.445024939 | 234 |   1 |            dE5,N |  17.2 |
| 55.0408079794 | -35.8347608944 | 236 |   2 |              dE2 |  19.2 |
| 55.0786959431 | -33.4201633096 | 237 |   1 |              dE3 |  17.8 |
| 55.0710556404 | -36.5335001379 | 238 |   2 |            dE5,N |  18.7 |
| 55.0770944235 | -37.4982575059 | 239 |   2 |              dE5 |  18.9 |
| 55.0969858289 | -35.2744225479 | 241 |   1 |            dE0,N |  16.6 |
| 55.0857423281 | -37.6427380457 | 242 |   1 |              dE5 |  17.8 |
| 55.1120260909 | -36.4975516023 | 243 |   1 |            dE1,N |  16.5 |
| 55.1274647979 | -35.8762171473 | 244 |   2 |      dE6 / ImIV? |  18.2 |
| 55.1404932978 | -35.0212595609 | 245 |   1 |            dE0,N |  16.0 |
|  55.156339445 | -36.1196681432 | 246 |   1 |              dE2 |  19.1 |
| 55.1757626705 | -35.6597403317 | 247 |   1 |        dE3 / Im? |  17.8 |
| 55.1803764048 | -35.8594831533 | 248 |   2 |              dE3 |  18.7 |
| 55.1841115753 | -37.4067379506 | 250 |   1 |              dE1 |  17.1 |
|  55.206193411 | -35.0220767181 | 251 |   1 |              dE0 |  19.0 |
|   55.20933511 |  -35.746819457 | 252 |   1 |            dE0,N |  16.0 |
| 55.2300268973 | -37.8366481709 | 253 |   1 |           dE5,N? |  16.3 |
| 55.2526193959 | -35.7406029713 | 254 |   1 |            dE0,N |  17.6 |
| 55.2652383976 | -34.9531445715 | 256 |   1 |              dE3 |  20.1 |
| 55.2664982378 | -35.6459350145 | 257 |   2 |           dE0,N? |  18.1 |
| 55.2791304789 | -35.6887636303 | 258 |   1 |              dE2 |  19.6 |
| 55.2806033554 | -35.5134897738 | 259 |   2 |              dE2 |  17.8 |
| 55.3027005902 | -35.1569072785 | 260 |   1 |            dE0,N |  17.0 |
| 55.3391310654 | -33.7678709229 | 261 |   1 | dE3 pec,N / ImIV |  15.8 |
| 55.3386911036 | -35.9470596362 | 262 |   1 |              dE1 |  17.8 |
| 55.3820367537 | -35.5877841545 | 264 |   1 |       dS0  (8),N |  16.8 |
| 55.4268625663 | -33.4829403035 | 265 |   1 |              dE5 |  18.1 |
| 55.4215639493 | -35.1687706627 | 266 |   1 |            dE0,N |  15.9 |
| 55.4571691323 | -36.6286515848 | 268 |   2 |              dE1 |  18.3 |
| 55.4886179599 | -35.2907065842 | 269 |   1 |              dE0 |  18.3 |
| 55.4995026893 |  -37.632721435 | 270 |   2 |               dE |  19.7 |
| 55.5253601809 | -34.8480708109 | 271 |   1 |              dE1 |  18.7 |
| 55.5455095837 | -35.4423246362 | 272 |   1 |               dE |  19.2 |
| 55.5651207385 | -34.4535033046 | 273 |   2 |              dE2 |  18.8 |
| 55.5715398906 | -35.5390965177 | 274 |   1 |            dE0,N |  16.5 |
| 55.5784865445 | -35.5594023184 | 275 |   1 |               dE |  19.3 |
| 55.6130354435 |  -33.869244289 | 278 |   2 |            dE6,N |  16.8 |
| 55.6094178358 | -36.6856500643 | 279 |   1 |            dE0,N |  16.7 |
| 55.6534315657 | -35.9544290254 | 280 |   1 |              dE1 |  18.6 |
| 55.6606224438 | -35.8664012728 | 281 |   1 |              dE1 |  17.9 |
| 55.6636408821 | -38.2286633116 | 283 |   2 |              dE2 |  17.8 |
| 55.7282578796 | -35.3419441619 | 284 |   2 |              dE1 |  19.0 |
| 55.8023080008 | -34.6416777995 | 286 |   1 |           dE0,N? |  18.1 |
| 55.8057953709 | -35.5172570911 | 287 |   2 |              dE0 |  18.0 |
| 55.8442943074 | -33.9373941653 | 288 |   1 |         dS0(9),N |  15.4 |
| 55.8460818672 |  -34.693798481 | 289 |   1 |              dE0 |  18.7 |
| 55.9149155449 | -35.2143584628 | 291 |   2 |              dE5 |  19.4 |
|  55.976331512 | -33.0398593759 | 292 |   1 |           dE6,N? |  17.1 |
| 56.1043966563 | -35.8551278381 | 293 |   1 |            dE1,N |  17.6 |
| 56.1130488104 | -35.6643271637 | 294 |   1 |           dE1,N? |  17.2 |
| 56.1243222299 |  -35.176867041 | 295 |   2 |              dE0 |  18.9 |
|  56.136692477 | -35.1944170629 | 296 |   1 |            dE1,N |  16.3 |
| 56.1630885323 | -35.9811990394 | 297 |   1 |              dE1 |  17.8 |
| 56.1844672821 | -35.6821150954 | 298 |   2 |            dE2,N |  16.6 |
| 56.2491648376 |  -36.317938862 | 300 |   1 |            dE4,N |  16.1 |
| 56.3080863291 | -36.9354061202 | 303 |   1 |            dE1,N |  15.5 |
| 56.3778819289 | -34.5037155427 | 304 |   1 |              dE1 |  18.8 |
| 56.3903261404 |  -37.081295558 | 305 |   1 |         dS0  (6) |  15.7 |
| 56.4485832861 | -35.0590074792 | 307 |   1 |              dE3 |  17.7 |
| 56.5337681527 | -36.8213169742 | 309 |   1 |              dE2 |  17.5 |
| 56.5752404519 | -33.7620054352 | 311 |   1 |         dS0(8),N |  16.9 |
| 56.6388160099 | -34.6844953847 | 313 |   1 |           dS0(9) |  17.4 |
| 56.6559628598 | -37.1579270471 | 314 |   1 |            dE2,N |  16.5 |
| 56.7557541099 | -36.4361008758 | 316 |   1 |            dE3,N |  16.3 |
| 56.7872810817 |  -32.772576363 | 317 |   1 |              dE1 |  17.7 |
| 56.7834774325 |  -36.325378739 | 318 |   1 |            dE2,N |  16.1 |
| 56.8174287342 | -32.3007492377 | 319 |   1 |            dE6,N |  16.4 |
| 56.8934041635 |  -32.253279496 | 320 |   2 |           dE5,N? |  17.3 |
|  56.891425282 | -35.9527572056 | 321 |   1 |               dE |  18.8 |
| 56.9059222739 | -36.3622654063 | 323 |   1 |        dE2 / ImV |  17.5 |
| 56.9692848074 | -36.4703021101 | 324 |   1 |         dS0  (8) |  15.3 |
|  57.008986204 | -35.0251689351 | 325 |   1 |              dE3 |  18.2 |
| 57.0170362649 | -36.7449441382 | 326 |   1 |              dE1 |  18.6 |
| 57.0399074534 | -37.5239356256 | 327 |   1 |             dE3? |  17.4 |
| 57.0913331657 | -36.1060723375 | 328 |   1 |               dE |  18.4 |
| 57.2311967771 | -35.9513628624 | 329 |   2 |               dE |  18.2 |
|  57.307045995 | -35.9255610109 | 330 |   2 |               dE |  19.4 |
| 57.3021003919 | -36.9727756466 | 331 |   1 |               dE |  17.1 |
| 57.5961252533 | -35.2467352311 | 334 |   2 |         dE(boxy) |  18.6 |
| 57.7184517857 | -35.1705690784 | 336 |   1 |           dE pec |  17.6 |
|  57.754737998 | -36.6824027473 | 337 |   1 |         dE / ImV |  17.8 |
| 58.0123151806 | -37.8734762575 | 339 |   2 |             dE,N |  17.5 |
|  58.322798944 | -37.8325335911 | 340 |   2 |               dE |  18.2 |
