|            RA |            DEC | FCC | Mem |            MType | BTmag |
| 56.9059222739 | -36.3622654063 | 323 |   1 |        dE2 / ImV |  17.5 |
| 56.9692848074 | -36.4703021101 | 324 |   1 |         dS0  (8) |  15.3 |
|  57.008986204 | -35.0251689351 | 325 |   1 |              dE3 |  18.2 |
| 57.0170362649 | -36.7449441382 | 326 |   1 |              dE1 |  18.6 |
| 57.0399074534 | -37.5239356256 | 327 |   1 |             dE3? |  17.4 |
| 57.0913331657 | -36.1060723375 | 328 |   1 |               dE |  18.4 |
| 57.2311967771 | -35.9513628624 | 329 |   2 |               dE |  18.2 |
|  57.307045995 | -35.9255610109 | 330 |   2 |               dE |  19.4 |
| 57.3021003919 | -36.9727756466 | 331 |   1 |               dE |  17.1 |
| 57.5961252533 | -35.2467352311 | 334 |   2 |         dE(boxy) |  18.6 |
| 57.7184517857 | -35.1705690784 | 336 |   1 |           dE pec |  17.6 |
|  57.754737998 | -36.6824027473 | 337 |   1 |         dE / ImV |  17.8 |
|  58.322798944 | -37.8325335911 | 340 |   2 |               dE |  18.2 |
