gmag  g-r   r-i   rh[pc]            
15.08  0.70  0.36  3.19         
16.87  0.76  0.37  2.15         
16.95  0.62  0.29  4.08         
17.24  0.76  0.39  2.37         
15.59  0.60  0.28  6.95         
14.59  0.77  0.40  2.12         
17.28  0.82  0.41  2.84         
16.75  0.57  0.27  7.11         
16.32  0.54  0.26  2.08         
17.70  0.69  0.35  1.93         
15.99  0.61  0.30  2.43         
16.22  0.65  0.35  2.64         
17.27  0.76  0.35  2.48         
16.74  0.69  0.41  2.10         
17.70  0.57  0.24  2.40         
17.49  0.65  0.33  5.72         
16.91  0.75  0.38  3.46         
17.60  0.68  0.33  2.17         
15.53  0.61  0.28  2.99         
18.58  0.67  0.35  _            
17.66  0.74  0.39 11.45         
18.62  0.80  0.38  3.38         
19.12  0.68  0.41  _            
18.47  0.76  0.39  6.87         
18.49  1.23  0.68  1.62         
19.56  0.87  0.50  _            
19.45  1.50  0.89  _            
18.96  0.82  0.36  _            
19.00  1.06  0.59  1.82         
18.88  0.84  0.53  _            
19.18  1.20  0.53  5.01         
18.87  0.95  0.66  4.90         
18.98  0.88  0.55  5.03         
18.07  0.73  0.43  3.10         
18.26  0.78  0.40  3.44         
18.29  0.53  0.35  _            
17.50  0.56  0.27  2.94         
16.61  0.55  0.27  3.33         
17.00  0.56  0.28  3.12         
16.78  0.52  0.25  2.78         
17.50  0.75  0.37  2.58         
17.09  0.56  0.28  4.58         
17.17  0.59  0.28  3.26         
18.15  0.60  0.30  2.91         
16.88  1.13  0.61  2.81         
17.58  0.60  0.38  4.83         
17.90  0.69  0.33  5.13         
17.40  0.60  0.29  _            
15.85  0.72  0.39  2.52         
15.95  0.75  0.39  3.59         
16.76  0.88  0.45  3.37         
17.16  0.62  0.27  6.33         
16.91  0.54  0.25  _            
18.31  0.64  0.35  _            
18.00  0.57  0.38  _            
18.74  0.68  0.34  _            
19.20  0.74  0.51  8.32         
18.41  1.10  0.60  5.47         
18.14  0.54  0.25  2.41         
18.48  0.61  0.31  _            
17.14  0.63  0.32  2.14         
14.56  0.63  0.33  _            
17.30  0.74  0.40  2.37         
