gmag  g-r   r-i   rh[pc]            
18.20  0.55  0.33  _            
17.76  0.57  0.39  _            
16.88  0.99  0.52  _            
18.19  1.02  0.47  _            
18.67  1.06  0.47  _            
18.37 -0.85  0.68  _            
17.40  1.12  0.63  _            
18.54  1.01  0.45  _            
17.80  1.10  0.45  _            
18.72  1.28  0.56  _            
17.07  1.03  0.45  _            
18.51  0.57  0.45  _            
17.89  1.08  0.47  _            
18.42  0.95  0.38  _            
17.87  0.99  0.43  _            
18.20  1.04  0.46  _            
18.17  0.98  0.47  _            
18.57  1.12  0.48  _            
18.12  1.11  0.49  _            
18.87  1.10  0.52  _            
18.21  1.11  0.55  _            
19.27  1.32  0.51  _            
18.48  1.13  0.50  _            
18.33  0.98  0.45  _            
18.69  0.61  0.39  _            
18.94  0.85  0.54  _            
17.78  1.26  0.57  _            
18.74  1.24  0.57  _            
19.47  1.64  0.62  _            
19.02  1.12  0.54  _            
17.98  0.88  0.49  _            
17.57  0.62  0.26  _            
18.47  1.10  0.44  _            
19.23  1.35  0.57  _            
18.52  1.32  0.62  _            
17.84  0.76  0.48  _            
19.85  1.20  0.53  _            
17.21  0.64  0.44  _            
19.26  1.34  0.55  _            
18.10  0.99  0.43  _            
17.97  1.06  0.45  _            
18.68  1.26  0.54  _            
18.68  0.77  0.32  _            
17.92  1.00  0.46  _            
18.95  1.03  0.48  _            
17.20  0.74  0.37  _            
18.02  0.98  0.45  _            
17.50  0.95  0.37  _            
18.04  1.16  0.43  _            
18.20  1.10  0.47  _            
17.68  0.65  0.38  _            
18.66  0.97  0.43  _            
17.54  1.00  0.40  _            
18.08  0.96  0.52  _            
17.18  0.86  0.42  _            
18.27  0.98  0.42  _            
19.82  1.51  0.59  _            
18.26  0.72  0.48  _            
18.25  1.09  0.41  _            
19.07  0.79  0.46  _            
17.40  0.97  0.46  _            
17.91  1.03  0.46  _            
18.72  0.89  0.38  _            
18.21  0.85  0.45  _            
17.94  0.41  0.41  _            
18.07  0.53  0.33  _            
17.42  0.70  0.41  _            
18.03  1.11  0.45  _            
18.93  1.06  0.47  _            
17.53  1.05  0.41  _            
17.77  1.09  0.46  _            
17.52  0.94  0.45  _            
17.44  1.11  0.46  _            
16.38  0.90  0.48  _            
17.91  0.92  0.37  _            
18.17  1.17  0.50  _            
17.12  1.05  0.52  _            
17.03  0.94  0.43  _            
18.02  0.96  0.46  _            
17.92  0.58  0.37  _            
17.88  1.06  0.46  _            
18.39  0.50  0.27  _            
18.36  1.12  0.48  _            
18.35  0.72  0.44  _            
18.03  1.00  0.44  _            
18.77  1.07  0.46  _            
18.19  0.89  0.46  _            
19.17  0.45  0.24  _            
18.58  0.96  0.50  _            
18.91  1.10  0.60  _            
18.51  0.73  0.42  _            
18.70  0.86  0.43  _            
18.52  1.11  0.49  _            
18.29  0.89  0.42  _            
18.19  0.47  0.38  _            
18.14  1.06  0.45  _            
18.22  0.69  0.40  _            
18.20  0.87  0.45  _            
17.76  0.94  0.53  _            
18.08  1.39  0.75  _            
18.19  1.11  0.54  _            
18.05  0.82  0.43  _            
18.33  0.89  0.38  _            
17.83  0.96  0.42  _            
17.78  1.10  0.52  _            
18.04  0.48  0.37  _            
18.68  1.03  0.46  _            
18.70  1.23  0.54  _            
17.87  1.04  0.51  _            
18.12  1.15  0.57  _            
18.07  0.94  0.51  _            
17.87  0.98  0.49  _            
17.77  0.98  0.47  _            
17.79  0.86  0.38  _            
17.47  1.07  0.48  _            
17.38  1.01  0.39  _            
18.14  0.92  0.46  _            
18.15  0.68  0.38  _            
18.14  0.83  0.47  _            
17.84  0.95  0.38  _            
21.82  1.25  0.43  _            
22.40  1.79  0.49  _            
21.17  1.45  0.58  _            
21.30  1.12  0.48  _            
19.11  1.35  0.54  _            
19.65  0.70  0.41  _            
19.28  0.76  0.41  _            
18.88  0.57  0.33  _            
17.45  0.87  0.44  _            
19.60  1.11  0.55  _            
18.98  0.95  0.46  _            
18.89  1.08  0.51  _            
19.21  1.16  0.52  _            
18.44  0.96  0.44  _            
19.10  1.02  0.53  _            
19.56  0.74  0.50  _            
17.95  0.77  0.55  _            
19.36  1.19  0.45  _            
19.55  0.91  0.43  _            
19.34  0.92  0.72  _            
19.28  0.71  0.62  _            
19.85  0.61  0.46  _            
18.89  0.87  0.48  _            
20.24  0.88  0.39  _            
19.03  1.07  0.42  _            
21.00  1.39  0.64  _            
18.49  1.10  0.46  _            
19.11  1.44  0.74  _            
19.56  0.62  0.41  _            
18.41  0.69  0.38  _            
18.06  1.22  0.59  _            
19.48  0.67 -0.23  _            
19.34  0.47 -0.36  _            
19.62  1.10 -0.24  _            
19.52 -0.37  0.07  _            
20.14  0.26  0.09  _            
19.29  1.10  0.39  _            
19.61  0.61  0.46  _            
18.34  0.99  0.53  _            
18.16  1.41 -1.42  _            
19.17  1.38 -1.11  _            
16.41  0.97 -1.04  _            
18.53  0.71 -0.85  _            
19.92  0.97  0.45  _            
15.79  0.32  0.10  _            
18.70  0.60  0.21  _            
18.80  0.58  0.30  _            
18.95  1.38  0.69  _            
18.21  0.12  0.10  _            
19.10  0.65  0.18  _            
18.93  0.25  0.08  _            
17.87  0.53  0.19  _            
19.10 -0.09  0.03  _            
18.50  1.41  0.76  _            
17.62  0.70  0.33  _            
19.67  0.43  0.14  _            
20.77  1.57  1.24  _            
19.19  0.57  0.56  _            
18.77  0.22  0.00  _            
19.28  0.54  0.19  _            
19.01  0.44  0.10  _            
20.16  1.36  0.69  _            
19.20  1.03  0.40  _            
18.57 -0.01  0.17  _            
19.04  1.02  1.03  _            
18.04  0.30  0.14  _            
18.47  0.18  0.14  _            
19.08  0.50  0.27  _            
19.12  1.30  0.70  _            
18.51  0.54  0.20  _            
19.69  1.06  0.39  _            
18.12  0.04  0.00  _            
19.25  0.65  0.07  _            
19.83  1.49  1.10  _            
19.01  0.47  0.21  _            
19.19  0.58  0.44  _            
20.78  1.52  0.71  _            
18.17  0.58  0.22  _            
18.73  0.33  0.19  _            
18.07  0.77  0.27  _            
18.30  1.14  0.53  _            
18.71  1.07  0.38  _            
18.23  0.30  0.09  _            
18.35  0.49  0.16  _            
18.65  0.62  0.24  _            
18.75  0.94  0.32  _            
18.42  0.72  0.26  _            
17.80  0.60  0.23  _            
18.39  0.46  0.23  _            
19.14  0.72  0.25  _            
18.33  0.68  0.26  _            
18.58  0.53  0.19  _            
17.74  0.85  0.25  _            
18.07  0.41 -0.41  _            
18.25  0.40  0.18  _            
18.15  0.37  0.10  _            
16.81  0.37  0.15  _            
18.28  0.25  0.13  _            
18.50  0.35  0.08  _            
18.62  0.39  0.17  _            
17.19  0.34  0.08  _            
18.60  0.65  0.24  _            
19.05  0.82  0.28  _            
18.72  0.88  0.44  _            
18.15  0.41  0.13  _            
17.68  0.51  0.17  _            
18.29  0.39  0.09  _            
19.12  1.06  0.37  _            
17.39  0.58  0.21  _            
18.63  0.62  0.24  _            
19.17  1.24  0.49  _            
18.80  0.49  0.14  _            
17.86  0.42  0.15  _            
18.15  0.26  0.11  _            
18.18  1.42  1.25  _            
19.21  1.33  0.63  _            
17.75  0.36  0.15  _            
19.36  1.35  0.56  _            
20.49  1.59  0.60  _            
17.87  0.47  0.16  _            
18.49  0.87  0.33  _            
18.39  0.52  0.25  _            
18.37  0.48  0.17  _            
18.18  1.09  0.40  _            
19.44  0.98  0.39  _            
18.26  0.65  0.22  _            
20.79  1.36  0.84  _            
20.11  1.41  1.23  _            
18.30  0.51  0.16  _            
18.12  0.52  0.20  _            
18.54  0.78  0.35  _            
18.63  0.48  0.25  _            
18.30  0.68  0.27  _            
17.58  0.27  0.06  _            
18.53  0.87  0.28  _            
18.40  0.91  0.36  _            
18.31  0.49  0.13  _            
17.78  0.67  0.25  _            
18.40  0.95  0.36  _            
18.28  1.07  0.39  _            
18.51  0.85  0.34  _            
19.01  0.47  0.20  _            
18.65  0.81  0.28  _            
20.63  1.22  0.56  _            
18.53  0.52  0.21  _            
16.86  0.55  0.18  _            
17.30  0.38  0.12  _            
16.37  0.50  0.18  _            
18.72  0.76  0.27  _            
19.27  1.16  0.44  _            
21.21  0.42  0.82  _            
20.90  0.56  0.44  _            
20.62  0.49  0.90  _            
19.50  1.46  0.62  _            
19.96  1.25  0.51  _            
16.74  1.45  0.86  _            
18.91  0.04 -0.29  _            
18.44  1.38  1.21  _            
18.59  0.49  0.55  _            
18.74  0.21  0.33  _            
17.51  0.17  0.04  _            
18.37  1.26  0.51  _            
17.07 -0.07 -0.15  _            
18.81  0.62  0.57  _            
20.92  1.49  0.92  _            
18.96  0.26 -0.03  _            
19.03 -0.07  0.27  _            
20.15  0.49  0.26  _            
20.28  0.47  0.12  _            
20.14  0.64  0.13  _            
19.35  1.04  0.64  _            
20.06  0.12  0.35  _            
20.05  0.28 -0.10  _            
20.65  1.62  0.85  _            
19.67  0.11  0.09  _            
20.15  0.61  0.20  _            
20.12  0.29  0.57  _            
20.25  0.62  0.36  _            
19.07  1.45  1.22  _            
19.72  0.93  0.57  _            
18.37  1.39  0.68  _            
18.12  0.50  0.29  _            
18.63  1.08  0.66  _            
17.91  0.36  0.20  _            
15.47  0.48  0.15  _            
15.30  0.51  0.09  _            
17.07  0.49  0.21  _            
18.04  0.64  0.22  _            
18.78  0.76  0.25  _            
19.61  0.63  0.20  _            
19.49  0.72  0.34  _            
20.25  0.63  0.55  _            
19.15  0.60  0.57  _            
19.71  0.52  0.40  _            
19.40  0.89  0.52  _            
20.33  1.03  0.46  _            
18.07  0.39  0.25  _            
20.00  0.83  0.26  _            
16.76  0.40  0.13  _            
18.58  0.53  0.19  _            
19.74  0.50  0.36  _            
16.78  0.43  0.15  _            
19.94  0.97  0.88  _            
19.32  0.60  0.33  _            
20.47  0.83  0.45  _            
20.09  0.91  0.51  _            
19.60  0.70  0.28  _            
20.24  0.94  0.63  _            
20.08  0.72  0.18  _            
18.72 -0.15 -0.11  _            
19.92  0.53  0.24  _            
17.83  0.64  0.27  _            
19.93  0.94  0.49  _            
19.93  0.36  0.43  _            
20.21  0.76  0.60  _            
20.24  0.67  0.52  _            
18.19  0.07  0.21  _            
19.38  0.60  0.03  _            
20.03  0.66  0.51  _            
19.51  0.04  0.18  _            
19.73  0.58  0.26  _            
18.96  0.68  0.29  _            
19.75  1.41  0.44  _            
18.73  0.55  0.18  _            
17.81  0.66  0.26  _            
18.36  1.25  0.57  _            
18.66  0.40  0.24  _            
19.87  0.66  0.37  _            
19.49  0.38  0.18  _            
19.48  0.40 -0.29  _            
19.56  0.67  0.41  _            
19.57  0.74  0.54  _            
18.43  1.34  0.61  _            
16.30  0.57  0.22  _            
19.78  0.55  0.36  _            
19.50  0.66  0.41  _            
20.41  0.63  0.21  _            
19.45  0.59  0.22  _            
18.97  0.57  0.36  _            
18.70  0.55  0.32  _            
19.67  0.72  0.23  _            
18.84  0.94  0.16  _            
20.41  0.82  0.50  _            
19.29  0.38  0.26  _            
19.87  0.97  0.47  _            
18.42  0.44  0.14  _            
19.43  0.18  0.05  _            
19.64  1.12  0.86  _            
19.11  0.87  0.38  _            
19.51  0.64  0.30  _            
18.76  0.56  0.15  _            
18.46 -0.02 -0.05  _            
18.95  0.45  0.14  _            
18.61 -0.22  0.03  _            
19.02  0.95  0.55  _            
21.08  1.65  0.81  _            
19.26  0.57  0.36  _            
19.46  0.71  0.36  _            
18.88  0.51  0.18  _            
20.35  0.86  0.51  _            
17.50  0.49  0.18  _            
19.68  0.83  0.59  _            
19.84  0.81  0.30  _            
18.46  1.02  0.49  _            
18.20 -0.10 -0.02  _            
19.62  1.33  0.53  _            
19.33  0.72  0.42  _            
17.31 -0.08  0.05  _            
19.48  0.82  0.78  _            
20.20  0.79  0.34  _            
18.87  0.27  0.38  _            
18.41  0.40  0.26  _            
19.09  0.86  0.48  _            
19.39  0.98  0.49  _            
20.33  0.83  0.64  _            
19.09  0.57  0.25  _            
19.80 -0.01  1.21  _            
15.88  0.46  0.17  _            
18.32  0.84  0.29  _            
20.24  0.59  0.17  _            
17.78  0.31  0.16  _            
18.15  0.65 -0.93  _            
19.25  0.48  0.45  _            
19.52  0.98  0.27  _            
20.25  0.99  0.32  _            
18.89  0.55  0.40  _            
19.35  0.65  0.62  _            
19.59  0.77  0.45  _            
17.41  0.42  0.15  _            
20.06  0.99  0.52  _            
17.76  0.59  0.22  _            
20.39 -0.62  2.94  _            
17.14  0.41  0.18  _            
19.57  1.14  0.56  _            
20.69  0.83  0.48  _            
19.46  0.53  0.13  _            
19.45  0.67  0.30  _            
19.50  0.38  0.28  _            
17.91  0.01 -0.09  _            
18.81  0.50  0.25  _            
19.00  0.57  0.19  _            
20.09  0.55  0.50  _            
19.17  0.76  0.32  _            
19.94  0.61  0.35  _            
20.09  0.93  0.33  _            
18.30  0.63 -1.99  _            
20.07  1.30  0.53  _            
19.51  0.83  0.54  _            
18.82  0.29  0.11  _            
19.98  0.85  0.59  _            
18.01  0.39  0.17  _            
16.69 -0.78  0.46  _            
18.80  0.46  0.10  _            
15.61  0.58  0.24  _            
18.80  0.69  0.28  _            
16.04  0.48  0.18  _            
19.33  0.80  0.39  _            
18.78  0.73  0.29  _            
19.27  0.39  1.21  _            
19.89  0.40  0.26  _            
18.06  0.55  0.30  _            
19.21  0.83  0.40  _            
18.38  0.79  0.29  _            
16.36  0.51  0.21  _            
18.35  0.68  0.44  _            
18.26  0.52  0.17  _            
19.81  0.69  0.30  _            
16.44  0.39  0.13  _            
18.42  1.42  0.59  _            
18.62  0.49  0.23  _            
18.52  0.43  0.16  _            
16.15  0.45  0.17  _            
17.78  0.63  0.18  _            
17.70  0.63  0.29  _            
17.16  0.21  0.14  _            
18.78  1.44  1.45  _            
17.99  0.85  0.31  _            
17.13  0.89  0.34  _            
19.81  0.56  0.48  _            
19.61  0.52  0.26  _            
19.37  1.28  0.58  _            
17.59  0.28  0.08  _            
18.93  0.92  0.38  _            
19.97  0.74  0.34  _            
19.43  0.80  0.66  _            
20.63  1.50  1.14  _            
19.08  1.11  0.41  _            
19.03  0.58  0.27  _            
20.78  1.09  0.61  _            
18.52 -0.22 -0.13  _            
20.18  1.29  0.51  _            
19.87  0.34  0.55  _            
19.43  1.33  1.70  _            
19.71  0.57  0.43  _            
18.49  0.54  0.27  _            
18.41  0.30 -0.46  _            
19.47  0.57  0.52  _            
19.78  0.79  0.50  _            
19.82  0.36  0.44  _            
18.81  0.78  0.38  _            
20.55  1.21  1.19  _            
17.94 -0.22 -0.14  _            
19.83  1.46  1.10  _            
19.15  0.83  0.35  _            
19.09  0.34  0.13  _            
19.58  0.14  0.31  _            
21.22  1.19 -0.79  _            
19.11  0.81  0.28  _            
17.44  0.91  0.38  _            
19.34  1.34  0.63  _            
20.56  0.71  0.82  _            
18.59  0.64  0.32  _            
18.56  0.64  0.28  _            
19.97  1.45  0.68  _            
18.87  0.35  0.08  _            
19.98  1.65 -0.40  _            
18.27  0.72  0.27  _            
20.06  0.91  0.86  _            
18.89  0.46  0.18  _            
18.35  0.23  0.15  _            
20.32  1.41  0.93  _            
19.85  0.32  0.33  _            
18.01  0.12  0.23  _            
18.67  0.12  0.05  _            
17.63  0.14 -0.09  _            
16.80 -0.12 -0.32  _            
19.15  0.64  0.32  _            
19.88  0.71  0.47  _            
18.14 -0.02 -2.50  _            
19.42  0.68  0.30  _            
19.39  0.38  0.28  _            
19.87  0.75  0.47  _            
19.20  0.55  0.15  _            
15.81  0.14 -0.36  _            
19.30  0.22  0.16  _            
18.46  0.56  0.15  _            
19.25  0.56  0.06  _            
20.65  0.95  0.99  _            
17.76  0.13 -0.07  _            
18.60  0.76  0.42  _            
20.06  1.28  0.82  _            
20.24  0.75  0.45  _            
19.31  0.79  0.17  _            
18.15  1.48  1.09  _            
19.91  1.28  0.60  _            
19.51  0.85  0.42  _            
19.86  1.49  0.92  _            
19.97  1.42  0.73  _            
19.18  0.71 -0.46  _            
20.42  1.44  0.88  _            
18.82  0.50  0.27  _            
18.75  0.41  0.10  _            
18.85  0.63  0.33  _            
19.55  0.83  0.28  _            
20.26  1.19  0.67  _            
18.73  0.72  0.27  _            
20.91  1.43 -0.60  _            
16.91  0.44  0.16  _            
19.63  0.67  0.41  _            
19.40  0.44  0.37  _            
19.57  0.63  0.46  _            
17.95  0.18  0.07  _            
18.93  0.59  0.54  _            
18.54  0.37  0.15  _            
20.96  0.98  0.48  _            
21.69  0.36  1.07  _            
19.96  0.55  0.62  _            
19.60  0.13  0.33  _            
17.08  0.72  0.26  _            
18.75  0.12  0.13  _            
19.91  0.95  0.73  _            
20.27  0.81  0.27  _            
18.08 -0.04 -0.04  _            
20.43  0.80  0.49  _            
18.77  0.70  0.30  _            
19.77  0.75  0.37  _            
19.60  0.82  0.39  _            
19.15  0.91  0.34  _            
19.93  0.60  0.19  _            
17.73  0.55  0.21  _            
20.03  0.68  0.27  _            
18.38  0.65  0.22  _            
18.90  0.22  0.06  _            
18.34  0.86  0.26  _            
17.89  0.28  0.11  _            
15.94  0.44  0.15  _            
18.91  1.03  0.38  _            
17.46  0.54  0.21  _            
17.88  0.45  0.18  _            
18.45  0.46  0.17  _            
19.19  0.51  0.18  _            
18.13  0.40  0.13  _            
19.45  0.64  0.20  _            
15.74  1.07  0.41  _            
19.23  1.08  0.43  _            
18.54  0.45  0.15  _            
17.58  0.90  0.26  _            
17.27  0.37  0.13  _            
18.51  0.35  0.13  _            
16.67  0.45  0.17  _            
18.09  0.84  0.29  _            
17.83  0.64  0.23  _            
19.05  0.71  0.26  _            
