#  myV_F606W  myV_F606We    mycalr_h   mycalr_he
#
       23.53      0.0206       1.625      0.3726
       23.83      0.0224      0.2918      0.3477
       24.64      0.0309      0.5835      0.6897
       25.56      0.0515       4.927       3.781
       25.19      0.0426           0       1.481
       24.66      0.0293           -1           -1
       22.97       0.018       3.705      0.3586
       23.28      0.0192       1.738      0.2342
        23.7      0.0226       1.233      0.4431
       24.26      0.0244       2.526       0.587
       23.96      0.0226       2.813      0.4648
       22.14      0.0165       3.518           0
       25.31      0.0442       1.988       1.597
       23.77      0.0224      0.5064      0.4694
       23.84      0.0215       1.259      0.3389
       21.73      0.0173       2.169           0
        23.7      0.0223      0.6982      0.2839
       24.28      0.0254       2.156      0.5586
        25.3      0.0449       3.762       1.526
       22.25      0.0169           -1           -1
       24.08      0.0263      0.6358      0.4838
       25.32      0.0437           0       1.173
       24.71      0.0313      0.7321      0.6841
       24.78      0.0355       0.338      0.8986
       24.57      0.0276       0.871      0.6829
       24.67      0.0354           0   6.385e+09
       23.93      0.0252        1.17      0.3928
       24.97      0.0373       1.753       1.124
       23.89      0.0221       1.174      0.3795
       22.08      0.0163           -1           -1
       23.53      0.0218           -1           -1
       21.81      0.0166       4.545           0
       23.33      0.0196       1.851      0.2971
       24.04      0.0253           0       0.473
       22.87      0.0193       1.593      0.2432
       23.16      0.0189       1.991      0.2519
       22.33       0.018       1.377           0
       23.53      0.0205       1.079       0.489
       22.04      0.0168       2.699           0
       22.64      0.0177       2.764      0.1986
       24.78      0.0341           0      0.8827
        22.7      0.0177       1.621      0.2414
       22.65       0.018       1.042      0.2414
       22.86      0.0191     0.09993      0.2151
       22.48      0.0233       0.447      0.5624
       22.89      0.0184        1.94      0.2536
       25.15      0.0424      0.7316       1.111
       24.78      0.0349       2.052       1.316
       22.69      0.0197     0.02043           0
       22.77      0.0184       1.511      0.2619
       25.73      0.0631       1.247       3.093
       24.58        0.03       1.116      0.6753
       23.09      0.0196      0.4208           0
       25.42      0.0442           -1           -1
       23.09      0.0333           0         0.3
       23.48      0.0191       1.863      0.6854
       22.28      0.0178       1.515           0
       24.03       0.022       1.994      0.3621
       22.86      0.0175       2.391           0
       24.29      0.0246           -1           -1
       19.75      0.0663           0      0.0971
       25.59      0.0517       2.735       1.715
       25.85       0.061           0           0
        22.7      0.0173       3.561           0
       23.11        0.02      0.9858      0.3234
        22.6      0.0181       1.037      0.1964
       23.76      0.0217       1.699      0.3153
       23.32      0.0226      0.1377       2.744
       25.84      0.0583       3.856       3.733
       24.05      0.0226       2.303      0.5205
       22.64      0.0246       0.416       23.78
       24.18      0.0235       3.249      0.7578
       24.89       0.033       2.383      0.9754
        25.3      0.0427           0      0.9872
       25.19      0.0422           -1           -1
        24.4      0.0251       1.102           0
       25.54      0.0481           -1           -1
       24.47      0.0302           -1           -1
       23.28      0.0187       2.166      0.4401
       23.79      0.0217       1.248      0.3452
       19.49      0.0709           -1           -1
       24.29      0.0257       1.005      0.4793
       24.18      0.0247       1.264      0.4382
       21.47      0.0216           0       2.583
       24.97      0.0346           0           0
       24.76      0.0304        2.11       1.046
        23.3      0.0236      0.3095        3.58
       25.19      0.0389       2.742       4.202
        23.6      0.0203        1.11      0.3971
       21.76      0.0159       3.021           0
       23.69      0.0204        2.73      0.2986
        24.5      0.0277        2.81       1.129
       24.46      0.0268       1.455      0.6022
       24.66      0.0293       2.868       1.833
       24.18      0.0234       2.154      0.5155
        23.3      0.0195       2.273      0.2808
       25.63      0.0518       1.969       1.778
        21.2      0.0167       4.639           0
        24.1      0.0231       2.283      0.5454
       20.09      0.0224           -1           -1
        25.4      0.0451       3.992       1.333
       23.56      0.0199           0      0.4109
       23.68      0.0214       2.585      0.6286
       24.38      0.0245       3.434      0.8866
       23.43      0.0189       3.108      0.4253
       23.42      0.0195        1.89      0.2715
       24.07      0.0238       1.801      0.5105
       24.26      0.0253       2.591      0.7063
        24.2      0.0244       2.244      0.5155
       25.95       0.067           -1           -1
       24.16      0.0253       1.695      0.5616
       23.69      0.0208       1.421       0.384
       24.59      0.0285      0.6411      0.6197
       23.07       0.018       2.551      0.2808
       21.57       0.016       4.773           0
       24.04      0.0224       2.103      0.6341
       24.74       0.033           -1           -1
       22.89      0.0185       1.426      0.2823
       23.46      0.0198       2.644      0.3126
       23.39      0.0183       3.683      0.3703
       23.75      0.0201       2.849      0.3286
       21.31      0.0172       2.405           0
       24.12      0.0232           -1           -1
       23.08      0.0187       2.083      0.2667
       25.01      0.0362       3.215       1.246
       25.51      0.0473           0       1.466
       24.18      0.0246       2.678      0.5767
       24.87       0.032       2.561       1.092
        25.1      0.0444       2.689       10.27
       24.57      0.0285       2.726       1.009
       23.96      0.0211       0.164           0
       23.84      0.0214           0           0
       22.47      0.0184       1.228           0
       23.59      0.0202       1.789       0.412
       22.99      0.0182       2.034           0
       24.81      0.0341       1.129      0.8379
       21.94      0.0162        2.78           0
       25.64      0.0532           0       16.88
       24.18      0.0235       2.006      0.6468
       21.53      0.0228      0.1421       20.63
       23.68      0.0204       2.255      0.3167
       25.45      0.0483     0.01754       1.203
       24.18      0.0243       1.204      0.4666
       24.54       0.028        1.35      0.6183
       23.93      0.0225        1.17      0.3427
       23.22      0.0188       1.111      0.3043
       22.35      0.0171       2.084           0
       23.81      0.0211       2.007         0.3
       24.03      0.0275           -1           -1
        22.8      0.0176       4.536      0.5407
       25.78       0.058       3.492       5.571
       23.13      0.0241      0.5377        1.05
       25.84      0.0604           -1           -1
       23.65      0.0192       3.557      0.8972
       23.77      0.0199       3.598      0.4739
       23.73      0.0204       1.856       0.412
       23.05      0.0193      0.8926           0
       23.93      0.0224       2.098      0.4917
        24.1      0.0272           -1           -1
       25.84      0.0614           -1           -1
       24.98       0.036      0.5304       9.375
       21.62      0.0349      0.3724           0
       23.96      0.0219        1.99      0.3806
       21.98      0.0171      0.6907           0
          25      0.0361       2.725       1.107
       21.52      0.0278     0.04612      0.1828
       22.22      0.0167       1.698           0
       23.98      0.0233       1.722       0.513
       24.32      0.0287           -1           -1
       24.46      0.0273      0.7536      0.5647
       24.15       0.023       1.605      0.5122
       24.92      0.0324       18.25       104.8
       23.26      0.0197      0.2046      0.2619
       24.63      0.0306     0.03799           0
       24.49      0.0266       2.977      0.5957
       23.16      0.0188           -1           -1
       24.18      0.0228       1.873       0.444
       22.59      0.0174       1.292       0.192
       24.97       0.033       2.177      0.8665
       24.34      0.0232       8.724       4.099
       25.37      0.0421       3.685       1.265
       23.65      0.0194       3.287      0.4283
       24.01      0.0234       1.234      0.4811
       24.21      0.0241       1.717      0.4498
       21.68      0.0162       2.014           0
       23.19      0.0213      0.2649      0.2552
       25.82      0.0578           -1           -1
       22.74      0.0174       1.291           0
       22.56      0.0175       1.757      0.2049
       24.45      0.0257       1.658      0.5003
       23.92       0.021        3.25       0.473
       19.96      0.0566      0.4705           0
       21.72       0.021           0       51.98
       24.39       0.029           -1           -1
       21.96      0.0163       2.246           0
       22.87       0.017       2.607      0.2869
       23.68      0.0205       2.262      0.3043
       24.32      0.0241       3.933       1.051
       22.92      0.0174       2.238      0.3014
       22.73      0.0176        2.95       0.314
