#  myV_F606W  myV_F606We    mycalr_h   mycalr_he
#
       24.45      0.0269       8.081           0
        23.3      0.0207       1.317      0.6708
       23.32      0.0199       2.341      0.2823
       21.11      0.0175       2.341           0
       22.85      0.0198       1.905      0.2028
        22.8       0.019       1.882      0.1757
       24.58      0.0277       2.414      0.7878
       22.11      0.0233           0      0.2586
       24.37      0.0254       2.908      0.5647
       24.08      0.0233      0.9616      0.3633
       25.44       0.045       2.966       2.191
       23.33        0.02       2.688      0.2683
       23.32      0.0197       2.132       0.361
       25.44      0.0481        2.47        1.39
        22.6      0.0186       2.961      0.4517
       25.63      0.0509           0       29.52
        25.2      0.0369       1.972      0.9095
       22.16      0.0191       1.221      0.1521
       25.19      0.0489       2.864       1.579
       20.97      0.0164       5.898           0
       25.29      0.0421        1.49       1.167
       22.79      0.0188       1.292      0.2049
       24.29      0.0247       3.392       0.674
       25.46      0.0494       2.755       1.805
       21.43      0.0176       1.452           0
       22.72      0.0187           -1           -1
       24.72      0.0311       2.749      0.8255
       23.76      0.0244       2.746      0.4517
       24.49      0.0265       2.038       0.743
       23.46      0.0233       3.101      0.3862
       25.87      0.0583           -1           -1
       25.44       0.054           -1           -1
       23.36      0.0212       2.116      0.3234
       23.31      0.0217       3.198      0.4283
       24.34       0.031        1.42      0.6728
       23.09      0.0181        3.89      0.2396
       23.26      0.0199       1.965      0.2762
       25.09      0.0361       2.622       1.092
       25.97      0.0698           -1           -1
       21.56      0.0175        1.57           0
       23.74      0.0211       2.147      0.4555
       25.05      0.0426           0           0
        24.7      0.0383       2.171       1.279
       24.23      0.0241       3.905      0.7612
       24.14      0.0288       1.191      0.6354
        24.6      0.0269       6.844       1.379
       22.52      0.0877           -1           -1
       22.04       0.018           -1           -1
       25.67      0.0536           -1           -1
        24.5      0.0278       2.476      0.6113
       22.68      0.0203        1.75      0.1964
       22.25       0.019       1.646      0.1757
       24.57      0.0279       2.343      0.7278
       23.04      0.0195       2.381       0.221
       23.09      0.0202       1.678      0.2305
       24.91      0.0353       1.883      0.7172
          24      0.0261       3.073      0.8465
       24.42      0.0336        2.23      0.8586
       25.05      0.0422       3.478        1.31
       24.93      0.0357       2.404       1.077
       23.33      0.0196       2.256      0.2432
       25.25      0.0522           -1           -1
       21.96      0.0165       4.004      0.2049
        23.3      0.0203       2.253      0.2793
        22.5      0.0205       2.685      0.2007
       24.37      0.0269       1.694      0.6374
       24.64      0.0304      0.7524      0.7986
       20.18      0.0233     0.07517       273.3
       24.89      0.0407       1.903       1.472
       22.59       0.024       2.059      0.1604
       23.95      0.0261       2.783      0.5054
       24.93      0.0357        1.22      0.8082
       21.08      0.0153       4.574      0.0971
       22.69      0.0196       1.353      0.1828
       24.27      0.0248       2.764      0.4793
       24.82      0.0421       1.773       1.209
       24.84      0.0336       1.329      0.6553
       24.32      0.0261       2.812      0.6307
       24.98      0.0333       4.443       5.302
       23.73      0.0251       2.151      0.5071
       23.31       0.021       2.143      0.3489
       25.78      0.0582       3.698       4.212
       23.67      0.0745        19.5       4.629
       22.36      0.0181        2.78      0.2151
       23.05       0.019       1.437      0.2762
       22.72      0.0198       2.381      0.2171
       23.39      0.0223       1.431      0.2342
       22.69      0.0177       2.525      0.1875
       24.32      0.0263       1.586       0.502
       24.74      0.0334       3.428       0.946
       24.62      0.0355       3.006       1.118
       23.99      0.0232       1.587           0
       23.64      0.0202           0           0
       22.94       0.019       1.862      0.2823
       23.05      0.0204      0.5155      0.2049
       23.11      0.0202       2.451      0.2484
       23.84      0.0262       1.528      0.5737
       22.32      0.0174       1.518           0
       22.47      0.0184       2.298       0.207
       22.28      0.0222           0      0.5172
       25.33      0.0546       3.231       2.003
       24.22      0.0245       3.505      0.6374
       25.16       0.037       2.493      0.9657
       25.72      0.0529           0           0
       25.33      0.0535       3.092       1.778
       24.51       0.033       2.924       1.126
       25.39      0.0493       2.695       1.561
       25.46      0.0527       1.944       1.645
       23.97       0.022       3.074      0.5163
       24.62      0.0288       2.951      0.8546
       24.33      0.0335           0       1.121
        25.6      0.0556      0.4679       1.583
       25.65      0.0599           -1           -1
       23.58      0.0208       2.977      0.4078
       22.12      0.0235           0      0.2007
       24.96      0.0351       2.844      0.8661
       23.28      0.0213        1.99       0.395
        24.7      0.0285        2.34      0.6252
       23.68      0.0231       3.086      0.3153
       24.46      0.0261       2.124      0.5662
       22.94      0.0184       2.669      0.2191
       23.45        0.02       3.735      0.5972
       22.92      0.0252           0      0.3014
       22.69      0.0186           -1           -1
       22.77      0.0181       3.142       0.221
       22.62      0.0176       3.243      0.2287
       22.02      0.0166           -1           -1
       21.93      0.0179       1.903           0
       22.36      0.0172       2.831      0.2091
       24.12       0.025       3.017      0.5367
       22.75      0.0185        1.86      0.2007
       21.76      0.0172       2.485           0
       23.47      0.0204       1.601      0.3586
       22.03      0.0174       2.379      0.1682
       24.84      0.0327           0           0
       25.97      0.0727       160.9           0
       25.14      0.0387           -1           -1
       24.57      0.0347       3.123       1.028
       23.38      0.0196        2.15      0.2305
        23.4      0.0247       2.125      0.2778
       24.82      0.0316       2.725      0.8919
       21.95      0.0182       1.539           0
       23.15      0.0193       2.253       0.245
       24.41       0.032         1.6      0.9487
        24.3      0.0273       2.373      0.8957
       22.59      0.0172       2.759           0
       20.76      0.0211      0.5108      0.1134
       24.58      0.0344      0.3764      0.8333
       24.29      0.0278       3.456      0.7986
       25.46      0.0477       6.093       3.732
       23.82      0.0672       1.488      0.6341
       25.11      0.0483       1.459       1.335
       25.62      0.0494           -1           -1
       24.71      0.0309       1.192      0.8842
       22.69      0.0192       1.895      0.1757
        22.3       0.018       2.327      0.1828
       23.56      0.0236           0      0.3273
       23.79      0.0249       1.567      0.6057
       22.61      0.0178       2.373       0.223
       24.28      0.0246       2.726      0.6106
       22.17      0.0189       1.692           0
       21.41      0.0157       4.186           0
       22.09      0.0178       1.706      0.1828
       23.25      0.0203       2.875      0.2467
        20.5      0.0152       4.238           0
       25.13      0.0433       3.959       1.467
       24.64      0.0342       2.529      0.8665
       24.28      0.0246       2.506      0.7867
       24.24       0.028       2.372      0.5797
       24.34      0.0274      0.8413      0.4421
       22.95      0.0187       3.076      0.2839
       23.42      0.0199       2.472      0.2432
       21.35      0.0192       3.115           0
       24.03      0.0269       2.377       0.587
       23.84      0.0222       2.772      0.4362
       21.69      0.0164       3.555           0
       25.82      0.0607           0           0
       23.07      0.0202       2.205      0.2619
       24.11      0.0234       2.931      0.4838
       24.29      0.0275       1.813      0.7219
       24.76      0.0342       3.108      0.9644
       25.19      0.0386       1.869       1.069
       22.66      0.0186       2.597      0.2091
       22.27      0.0229     0.05616           0
       21.55      0.0173       2.592           0
       22.69       0.018       2.563      0.2028
       22.59      0.0181       1.123      0.2342
       24.23      0.0864           -1           -1
       22.57      0.0188      0.9257      0.1781
       24.09      0.0254        1.31       1.098
       21.79      0.0178       3.203           0
        21.6      0.0165       3.577           0
        24.5      0.0277       2.615      0.6225
       21.82      0.0214       1.773           0
       22.13      0.0177           -1           -1
       23.85      0.0258       3.238      0.5797
       23.12      0.0188       2.106           0
       25.11      0.0402        2.22       1.111
       22.73      0.0191       2.553      0.2502
       23.76      0.0228           -1           -1
       22.78      0.0197       1.617      0.2287
       24.95      0.0396      0.9803       1.098
       25.96      0.0734       2.353       3.231
       21.92      0.0172        1.99      0.1404
       24.31      0.0272       2.267      0.7154
       25.07      0.0385       0.568       1.225
       22.02      0.0174       2.589           0
       25.33      0.0446       5.357       2.129
       23.79      0.0221       1.605       0.355
       24.05      0.0236       1.869      0.3971
       25.49      0.0485       2.283       1.346
       22.75      0.0184       2.919      0.2683
       22.15      0.0174        2.32           0
        24.6      0.0274       2.472      0.5936
       21.78      0.0184       2.452      0.1276
       23.22      0.0195           -1           -1
       23.89      0.0233       1.199      0.3749
       23.04      0.0181       3.429      0.2683
       24.73       0.031        1.96      0.7724
        24.4      0.0275       1.613       0.473
       23.85      0.0235       2.235      0.4684
       25.16      0.0417      0.9646       1.329
       25.76      0.0529        4.98       2.113
       23.33      0.0211         2.7      0.3364
       25.65      0.0562           -1           -1
       21.62      0.0192           -1           -1
       22.33       0.019        2.34      0.1656
       23.48      0.0204       1.733      0.2808
       23.02      0.0196       3.036      0.2171
        23.4      0.0203           -1           -1
       24.94      0.0344       3.013      0.5914
       25.01      0.0355       2.878       1.007
       23.36        0.02       1.139      0.2715
       23.03      0.0202       1.946      0.2131
        24.8      0.0338       2.076      0.7487
       24.33      0.0258       2.075      0.4721
        23.3      0.0193       1.636       0.318
       24.75      0.0302       2.492      0.8938
       23.12      0.0183       2.187      0.2854
       25.57      0.0515       1.817       1.242
       23.47      0.0285      0.1147           0
       23.65       0.021       2.262      0.2552
       23.84      0.0215       2.373      0.3873
       24.15      0.0249       2.516      0.4611
       22.56       0.018       3.027      0.2619
       22.19      0.0173       3.719      0.1342
       24.24      0.0238       2.586      0.5003
       21.14      0.0225      0.2531           0
       23.86      0.0216       2.266      0.3207
       21.68      0.0215           -1           -1
       22.24      0.0189           -1           -1
       24.41      0.0264           -1           -1
       24.75      0.0302       2.742       1.052
       24.68      0.0294       2.408       1.635
       22.02      0.0188       1.215           0
       24.03      0.0244       2.417      0.4517
       22.74      0.0214        1.66       0.163
       23.98      0.0238       2.305      0.4141
       22.21      0.0182       1.478           0
        24.4      0.0258       2.614      0.4811
       25.81      0.0578           0       1.732
        22.9      0.0183       2.212      0.1852
       23.93      0.0217       3.747      0.5155
       24.44       0.026       2.137      0.7384
       25.74      0.0535       30.26       177.6
       23.53        0.02       2.678      0.2793
       21.91      0.0173       2.479           0
       23.51      0.0203       2.021      0.2808
       24.48      0.0267       2.031      0.5391
       23.63      0.0209       2.453      0.3057
       24.77      0.0294       2.682       1.458
       23.54      0.0199       2.792      0.2586
       23.78       0.021       2.138      0.3851
       24.03      0.0295           -1           -1
       22.78      0.0211       1.198      0.2305
       22.33       0.019       2.954      0.2249
       22.79      0.0208       1.164      0.2808
       24.29      0.0302           -1           -1
        23.9      0.0271       0.802      0.4592
       23.35      0.0234      0.9021      0.2651
       22.37      0.0209      0.5917      0.1986
       25.09      0.0425       2.201       1.113
       23.35      0.0216           -1           -1
       23.07      0.0237      0.8811      0.2778
       22.31      0.0202       1.753      0.1942
       23.44      0.0234           -1           -1
       24.83      0.0362       1.546      0.8759
       24.62      0.0342       1.548        0.79
       21.87      0.0195       1.382           0
       24.88      0.0364       2.092       1.329
       24.53      0.0317       1.766      0.7997
       25.93      0.0697           -1           -1
       22.85      0.0204       2.778      0.3738
       23.06      0.0211       1.764      0.2747
       22.55      0.0219           -1           -1
       25.11      0.0412       3.322       1.206
       23.67      0.0237       1.629      0.2957
       22.58      0.0215       2.641      0.2635
       21.41      0.0195           -1           -1
       23.52      0.0241           -1           -1
       23.38      0.0222       2.706      0.5302
       21.39        0.02      0.7316           0
       21.89      0.0184       2.511           0
       23.92      0.0244       178.1           0
       21.76      0.0281           -1           -1
       22.25      0.0198           -1           -1
       25.39      0.0489      0.9475       1.338
       25.57      0.0527       3.076       2.049
       23.44       0.024           0      0.2536
       25.25      0.0419        2.02       3.054
       21.94      0.0196       1.391           0
       23.24       0.022       2.401      0.2552
       21.98      0.0203           -1           -1
       23.13      0.0221      0.7824      0.3299
       22.76      0.0203       1.198      0.2091
       23.57      0.0243           -1           -1
       24.86      0.0341       1.335        0.71
       23.45      0.0227       1.072      0.2602
       21.74        0.02       1.015           0
       25.63      0.0536        4.16       3.147
       25.34      0.0436       3.142        1.37
       22.67       0.021       1.595       0.221
       25.24      0.0405           -1           -1
       24.17      0.0255       2.264      0.5936
       23.82      0.0237       2.696      0.6341
       24.52      0.0291       2.497      0.5692
       25.26      0.0432       2.033       1.405
       24.79      0.0324       2.338      0.6972
       22.96      0.0215           -1           -1
       23.73      0.0239       1.301      0.3464
       23.35      0.0217       1.214      0.3112
        23.2      0.0197       3.329      0.3489
       25.72      0.0576           0           0
        25.3      0.0418       3.067       1.242
       23.57       0.027      0.1536       3.235
       22.54      0.0195       1.461           0
       21.25      0.0215      0.8551           0
       22.58      0.0199       2.444      0.2667
       22.61      0.0198       1.573           0
        22.9      0.0208       1.852      0.2324
       25.67      0.0528           0           0
       24.44      0.0288       1.466      0.5647
       25.59      0.0497       3.568       1.408
       23.58      0.0237      0.6386      0.3043
        22.9      0.0196       2.594      0.3043
       24.83      0.0333       2.196      0.8018
       22.31      0.0179       3.936       0.207
       22.25       0.019       1.678           0
       24.99      0.0362       1.289       0.652
       23.41      0.0206        3.72      0.3338
       25.13      0.0391       1.874      0.8486
        25.7      0.0545       3.813       2.615
       23.96      0.0243       3.951       4.161
       24.54      0.0302       1.529      0.5414
       23.97      0.0255           -1           -1
       23.67       0.023       2.165      0.3726
          24      0.0248       2.728      0.4362
       23.95      0.0235       2.815      0.4498
        24.9      0.0381     0.06355      0.9741
       25.79      0.0587           -1           -1
       25.34      0.0443       3.992       1.352
       21.73      0.0189       3.965      0.1171
       23.74      0.0233       2.051      0.3633
       23.69      0.0236      0.9762      0.3085
       23.88      0.0246       2.174      0.3167
       23.88       0.024       2.187      0.4036
       21.82      0.0189       3.458           0
       22.01      0.0287           0      0.1464
       23.75      0.0227       2.901        5.34
       22.54      0.0241       1.509      0.1875
        23.2      0.0209        1.68      0.2171
       23.51      0.0225       1.959      0.2379
       23.51      0.0207       3.977      0.5446
       23.45      0.0234      0.7207      0.2484
       25.33      0.0416           -1           -1
       24.58       0.029       2.705      0.7051
        22.6      0.0207           -1           -1
       24.24      0.0273       1.591      0.5516
       22.56      0.0209        1.17      0.1828
       23.76      0.0217       3.269       0.412
       24.21      0.0259       2.243      0.7267
       22.75      0.0204       1.383           0
       23.35      0.0223      0.2303      0.2839
       24.94      0.0385           -1           -1
          23      0.0205           -1           -1
       21.34      0.0287        0.24           0
       24.65      0.0298        2.28      0.6468
       24.97      0.0362       3.269      0.9989
        22.8      0.0207       1.138           0
       22.84      0.0205       2.559      0.2131
       23.99      0.0245       1.466      0.3971
       25.99      0.0647           -1           -1
       22.91      0.0193       3.519      0.2151
       25.64      0.0513       1.353        1.43
       25.68      0.0519       2.713         1.9
       23.71      0.0224       1.977      0.2839
       21.73      0.0193      0.6043           0
        25.9      0.0586       18.29       1.299
       24.37      0.0286      0.3792      0.4401
       23.66      0.0227       2.431      0.2379
        25.5      0.0478           -1           -1
       23.47       0.022       2.308      0.2731
        23.7      0.0223       2.063      0.2793
       23.77      0.0222       3.008      0.3574
       23.46      0.0251       1.129      0.2552
        24.1      0.0255       2.185      0.3862
       25.94       0.064       2.367       2.045
       22.74      0.0202       1.629      0.2342
       22.29      0.0182       4.567           0
       23.65      0.0224           -1           -1
       23.64      0.0226       1.655      0.4333
       24.53      0.0287       2.376      0.5367
       25.61      0.0502       2.996       1.247
       22.41      0.0197           -1           -1
        23.7      0.0235      0.7754      0.2731
        22.5      0.0203       1.746           0
       24.03      0.0243       2.364      0.4343
        23.7      0.0217       2.659      0.3489
       25.96      0.0648       1.669       2.142
       23.24       0.023       1.678       0.221
       22.48      0.0276           0      0.7407
       24.54      0.0286           -1           -1
       23.39      0.0218       1.931      0.4067
        24.5      0.0291       2.814      0.7172
       25.77       0.058           -1           -1
       24.11      0.0267       1.691      0.3738
       24.77      0.0325       1.596      0.8135
       24.23      0.0256       4.122       1.072
       22.87        0.02       2.003      0.1875
       21.03      0.0193       3.387           0
       22.38      0.0214       2.064      0.1781
       23.21      0.0216      0.7742      0.2432
       22.12      0.0186       3.309           0
       23.47      0.0217       2.758      0.2651
       23.17      0.0217       1.823      0.1852
       24.27       0.027       1.838      0.4479
       24.71      0.0316       2.967       1.078
       22.16      0.0269      0.1115      0.4899
       23.51      0.0227       2.094      0.2683
       23.89      0.0228       3.206      0.3286
       23.91      0.0253       1.756      0.3928
       24.95      0.0339       1.681      0.6651
        22.3      0.0246      0.2054       1.826
       22.41      0.0196       1.711      0.1805
       22.65      0.0202       1.646      0.1852
       25.75      0.0553       2.213       1.261
       24.28      0.0263       2.205      0.5096
       24.56      0.0292       1.692      0.6728
       24.37       0.028       1.902      0.3884
       23.61      0.0214       3.599      0.2699
       25.63      0.0496           -1           -1
       24.31      0.0274       1.425      0.4721
       22.67      0.0199       1.385           0
       24.25      0.0304           -1           -1
       25.22      0.0451       2.513       1.103
       24.08       0.025       1.659      0.4036
       23.88      0.0236        2.85      0.3772
       23.95      0.0243       1.028      0.4212
        25.9      0.0615           0   2.617e+11
       25.37      0.0434      0.6992       1.135
       25.93      0.0616           -1           -1
       24.19      0.0242           0           0
       22.62      0.0303           0           0
       25.71      0.0528       1.525       3.379
       24.18      0.0245        2.24      0.6676
       22.93      0.0213      0.7813           0
       24.34      0.0265       3.166      0.5928
       23.39       0.023       2.456       0.384
       25.53      0.0477           0      0.3761
       25.66      0.0505        1.68        1.99
       22.72      0.0273      0.2772       1.681
          22       0.019       1.252           0
       23.93      0.0247           -1           -1
       22.67      0.0209       1.822       0.192
        25.8      0.0574           -1           -1
       22.96      0.0205       1.438           0
       24.03      0.0238           -1           -1
        25.9      0.0636           0       6.882
       25.45       0.045       2.146      0.9798
        22.9      0.0209       1.727      0.2467
        25.2      0.0418           0       9.568
        24.2      0.0261       1.044      0.5752
       22.67      0.0254       2.412      0.3477
        24.9      0.0329       2.147       1.316
       23.84      0.0237       1.859      0.3692
       23.33      0.0212        2.19      0.2268
       25.41      0.0438       3.484       1.474
       23.75      0.0273           -1           -1
       22.71        0.03           0           0
       24.81      0.0308       3.559       1.265
       25.43      0.0437       2.807       1.556
       23.25      0.0223       1.113      0.2683
       24.29      0.0254           0           0
       23.97      0.0257       2.174      0.3167
       23.78      0.0228       3.957      0.3939
        22.4      0.0255      0.5043      0.5414
       24.25      0.0294           -1           -1
       23.14      0.0201       1.793      0.2467
       25.45      0.0442       3.737       1.464
       23.66      0.0222       1.376           0
        24.4      0.0364           0           0
       23.63      0.0207       3.758      0.5262
       23.05      0.0187       5.518      0.5319
       23.44      0.0297      0.2039      0.3657
       22.76      0.0209       1.734      0.1732
       24.89      0.0347       1.071      0.6211
       25.46      0.0444       1.895       1.089
       22.47      0.0207       2.119      0.1604
       25.12      0.0366        1.57       0.759
       20.75      0.0596       1.119      0.1682
       24.41      0.0268           -1           -1
       24.01      0.0239       2.043      0.3167
       23.81      0.0232      0.9813      0.2619
       24.84      0.0316       4.895       1.672
       23.21      0.0205       2.861      0.3464
       23.46      0.0206       2.925      0.4025
       23.88      0.0243       2.878      0.3464
        22.2      0.0263       1.811      0.1242
       23.69      0.0227           -1           -1
       24.28      0.0253       2.328      0.3726
       25.16      0.0362           -1           -1
       22.25      0.0182       3.077           0
       22.33      0.0207           0      0.2007
       22.81      0.0217           0      0.2268
       24.55        0.03     0.04526      0.6394
       22.53      0.0066       71.83       34.98
        22.8      0.0189       2.783      0.1781
       24.19      0.0249       2.452      0.4775
       22.11      0.0177       2.707      0.1464
       23.35      0.0213       2.719      0.3338
       22.76      0.0183       2.824      0.2268
       25.03      0.0407           -1           -1
       24.54      0.0299       1.715      0.6916
       21.92      0.0193           0      0.1656
       23.06      0.0213      0.3519      0.2839
       24.43      0.0303       2.105      0.6841
       24.31      0.0284       1.594      0.6879
       23.51      0.0251      0.8228      0.3928
       22.19      0.0163       3.235       0.163
        21.3      0.0168       3.161           0
       23.86      0.0262           -1           -1
       25.45      0.0465       2.034       1.714
        23.3      0.0212       2.608      0.2619
       25.21      0.0498       2.663       1.545
       23.67      0.0232       2.206      0.4004
       22.22      0.0175        3.16      0.1604
       22.37      0.0196      0.4522           0
       22.37      0.0179       2.852      0.2028
       21.75      0.0173       4.228      0.1276
       21.38      0.0186       3.091      0.1056
       23.83      0.0263       3.118      0.6474
       24.14       0.023       3.911      0.6468
       21.03      0.0156       3.888           0
       22.87      0.0196       2.642      0.2552
       24.65      0.0329           -1           -1
       22.91      0.0688       3.222      0.5138
       23.54      0.0209       3.098      0.3389
       25.72       0.062           -1           -1
       24.33      0.0322         1.5      0.7746
       23.87       0.023       3.439      0.5122
       24.33      0.0255       2.466      0.5914
       22.74      0.0183       3.477      0.1732
       24.18      0.0293       179.7        2105
       24.04      0.0268       3.075      0.5147
       24.01      0.0283       2.802      0.6106
       23.37      0.0229       2.921      0.4212
        25.1      0.0519       3.231       2.101
       24.08      0.0304       2.856      0.9675
       23.95      0.0251       3.151      0.4684
       23.86      0.0268       1.914     0.08783
       21.66      0.0177       3.615      0.1309
       23.43      0.0195       2.869      0.3029
       25.34      0.0456       2.076       1.211
        24.8      0.0329       2.095      0.6935
       24.89      0.0441       18.09       170.2
       21.92      0.0177       2.851      0.1242
       24.64      0.0361       1.705      0.7746
       23.16      0.0184       2.597      0.2268
       25.43      0.0593       1.204       1.624
       21.87      0.0164       2.804           0
       22.28      0.0172       2.787      0.1875
       23.94      0.0263       3.799      0.6211
        22.9      0.0209       2.239       0.223
       25.85      0.0637           0       1.924
        23.9      0.0223       3.018      0.4592
        24.6      0.0377       3.647       1.877
       24.74      0.0372       3.404       1.101
       25.46      0.0495       3.463       1.424
       24.03      0.0244       2.729      0.4592
       24.32      0.0301       4.544       1.176
       23.51      0.0241       3.301       0.489
       25.61      0.0675           -1           -1
       23.63      0.0242       1.983      0.4303
       25.15      0.0451       2.857       1.287
          23      0.0192       2.136       0.192
        25.1      0.0455       4.228       1.551
       22.67      0.0189       3.245      0.1757
       24.27      0.0289       3.194      0.7172
       21.96      0.0168        3.06      0.1404
       24.08      0.0267       3.731      0.6916
       21.99      0.0178       3.347      0.1434
       22.22      0.0161       3.528           0
       23.24      0.0224       3.041      0.2342
       22.63      0.0178       2.635      0.1757
       23.26      0.0216       3.414      0.3489
       24.98      0.0453      0.1378       610.8
       23.71      0.0222       2.937       0.368
       24.12      0.0245       3.132      0.5438
        24.6      0.0349           -1           -1
       24.27      0.0277       2.772      0.6279
       23.91      0.0233       1.591      0.4099
       23.58      0.0232       3.145      0.3657
       23.66       0.028       3.027      0.4675
       22.45      0.0176        3.47      0.1828
       22.57      0.0196       3.257      0.1656
       24.09      0.0226       2.472      0.4382
       22.13      0.0171       3.502      0.1604
        21.1      0.0168       2.559           0
       24.46      0.0287       4.521      0.9496
       23.66      0.0218       2.609      0.3513
       23.74      0.0241       1.267      0.4775
       22.77      0.0201       2.892      0.1828
       21.86      0.0175           -1           -1
       21.68      0.0191       2.945      0.1242
       24.82      0.0378       1.997       1.159
       22.98      0.0187       2.922      0.2268
       25.84      0.0698           -1           -1
       23.42      0.0218       2.108      0.3071
       24.37      0.0299       3.507      0.8193
       22.74      0.0207       3.359      0.2191
       23.11      0.0191       2.512      0.2171
       22.52      0.0181       3.537      0.1942
        23.2      0.0198       3.551      0.2569
       24.04      0.0236       2.646      0.4362
       22.22      0.0168       3.371      0.1781
       25.42      0.0524       3.993       1.753
          24      0.0252        3.22      0.4648
       23.24      0.0196       2.286      0.2569
       22.73      0.0189       3.057      0.1964
       23.66      0.0223       2.989      0.3884
       24.25      0.0256       3.537      0.5957
       23.58      0.0218        2.61      0.3414
       24.11      0.0261       3.358      0.5797
       23.93      0.0233       3.457      0.4951
       23.98       0.025       1.627      0.4648
       24.25      0.0281       2.511      0.5414
       21.72      0.0185       2.417      0.1207
       23.16      0.0202       2.165      0.2111
       22.33      0.0172        3.84      0.1604
       23.92      0.0232       3.026      0.4555
       23.12        0.02       2.867      0.2957
       23.16      0.0194       2.843      0.2049
       24.24      0.0239       1.428       2.277
       24.02      0.0249       3.217      0.6935
       24.96      0.0485       3.191       2.552
       21.43      0.0172       4.255      0.1171
       22.58      0.0489       1.646      0.2414
       23.02      0.0182        3.21      0.2287
       24.12      0.0255       3.358      0.5692
       22.81      0.0194       2.783      0.2131
       24.51      0.0297       2.383      0.7195
       22.41      0.0197           -1           -1
        20.5      0.0243      0.3616           0
       24.56      0.0307       3.036      0.9254
       23.34      0.0208       2.615      0.2808
       21.38      0.0173       1.931           0
       22.49      0.0182       3.103      0.1604
       23.67      0.0226       1.763      0.3112
       23.79      0.0212       2.951      0.3562
        21.2      0.0228      0.5376           0
       22.59      0.0199       1.858      0.3338
       24.52      0.0309       2.898       1.275
       23.27      0.0196       2.931      0.4036
       23.99      0.0228       3.231      0.6141
       21.91      0.0172       1.812           0
        23.8      0.0214       2.749      0.2898
       24.35      0.0278       3.013      0.6071
       23.62      0.0203       3.541      0.2667
       23.61      0.0203        6.39       1.023
       23.18      0.0179       3.311      0.1875
       22.13      0.0178       2.224       0.163
       22.89      0.0194       2.574      0.2007
       24.84      0.0334       4.055       1.359
       24.78      0.0337       3.009      0.9635
       24.12      0.0242       2.648      0.5399
       24.05      0.0224       3.321      0.5509
       24.36      0.0241         3.9      0.5237
       23.17      0.0186       3.108      0.2519
       22.44      0.0177       2.695      0.1828
       23.88      0.0216       2.627      0.4721
       23.48      0.0216       3.528       0.384
       24.72      0.0306       3.388      0.9541
       25.45      0.0505        3.45       2.192
       25.07      0.0346       3.457       1.361
       19.16      0.0597           -1           -1
       22.87      0.0176       3.391       0.221
       23.97      0.0227        3.17      0.5367
       23.68      0.0213       2.212       0.318
       24.82      0.0326         5.7       3.235
        25.5      0.0516       5.965       7.964
       25.25       0.043       2.401       1.311
       22.99      0.0198      0.6461      0.3464
       23.92      0.0227       2.119      0.4243
       19.92      0.0208           -1           -1
       22.93      0.0186       3.617      0.2028
       21.65      0.0173       2.566           0
       22.89      0.0176       4.014      0.2823
       23.52      0.0201       2.516      0.3633
       25.16      0.0386           -1           -1
       24.09      0.0253       3.108      0.5122
       22.85       0.018           -1           -1
       22.38      0.0248      0.1968      0.1964
       21.37      0.0179       3.171      0.1207
       22.14      0.0234       1.572      0.1656
       22.24      0.0178       2.482      0.1656
       22.55      0.0175       2.878      0.1757
       23.26      0.0192       2.701      0.2519
       24.41      0.0254       2.794       0.543
       24.89      0.0331       3.832        1.14
       25.13      0.0391       2.815       1.264
        22.1      0.0212           -1           -1
       25.45      0.0478       2.753        1.23
        25.5       0.049       1.193       1.193
       24.18      0.0263       1.808      0.8177
       25.81      0.0577           -1           -1
       24.55      0.0268       3.684      0.7889
       25.92      0.0611       5.317       2.176
       23.96      0.0221       3.261      0.3364
       23.93      0.0227       2.434      0.2986
       23.27      0.0202       2.401      0.2131
       25.58      0.0488           -1           -1
       23.08      0.0198       3.041      0.1986
       25.87      0.0596           -1           -1
       25.67      0.0525           0           0
       24.86      0.0323           0           0
       22.47      0.0293           0        1.99
       25.53       0.048       3.717       2.777
       23.85       0.022       1.327      0.3862
       25.12      0.0374           -1           -1
       25.55      0.0514           0           0
       23.25      0.0192       3.006      0.2667
       24.61      0.0326           -1           -1
       25.91      0.0643           -1           -1
       21.42      0.0177       2.061           0
       24.65      0.0293       1.487      0.7184
       23.68      0.0235      0.6397      0.2793
          25      0.0353       2.906      0.9295
        25.5      0.0468           -1           -1
       23.18      0.0189       1.967      0.2324
       25.67      0.0549           0       12.25
       22.81      0.0711       1.387      0.4099
       22.83      0.0178       2.613      0.2379
       23.46      0.0213       1.033      0.3851
        21.3      0.0227           0      0.1604
       23.64        0.02        2.01      0.4036
       23.08      0.0169       4.916      0.3501
       23.52      0.0199       1.052      0.2986
       23.74      0.0252           -1           -1
       22.48      0.0165       2.997      0.2379
       21.09      0.0169       2.244           0
       24.28      0.0261      0.8476      0.6043
       22.69      0.0178       1.669      0.2171
       22.75      0.0194       1.646           0
       24.35      0.0258       0.419           0
       23.59      0.0205       2.434       0.236
       21.82      0.0155       3.472           0
       24.19      0.0263      0.2535      0.4141
       22.78      0.0183      0.2046           0
       23.61        0.02       2.529      0.3489
       25.09      0.0379       1.706       1.025
       23.58       0.021           0      0.2778
       24.58      0.0292       2.079      0.8425
       24.14      0.0236       1.207      0.4648
       22.98      0.0189       3.676           0
       23.37      0.0201       2.152      0.3167
