# This is the online version of Table 2 of G2C2 I (Vanderbeke et al. 2013): magnitudes based on CTIO data. 
# Default values are -100 in the table below. 
# Columns are ID, g, sigma_g, r, sigma_r, i, sigma_i, z, sigma_z, CMD_g, CMD_r, CMD_i, CMD_z,
# with CMD_{g,r,i,z} the applied magnitude corrections to clean foreground stars based on the CMDs. 

NGC6171     ,      8.084     ,      0.032     , -100     , -100     , -100     , -100     ,      7.109     ,      0.050     ,      0.00     , -100     , -100     ,      0.00  
NGC6218     ,      7.691     ,      0.036     , -100     , -100     , -100     , -100     ,      6.653     ,      0.053     ,      0.00     , -100     , -100     ,      0.00  
NGC6235     ,      9.542     ,      0.036     , -100     , -100     , -100     , -100     ,      8.552     ,      0.064     ,      0.00     , -100     , -100     ,      0.00  
NGC6254     ,      6.842     ,      0.031     , -100     , -100     , -100     , -100     , -100     , -100     , -100     , -100     , -100     , -100  
NGC6273     ,      6.909     ,      0.031     , -100     , -100     , -100     , -100     ,      5.801     ,      0.044     ,      0.00     , -100     , -100     ,      0.00  
NGC6284     ,      9.247     ,      0.030     , -100     , -100     , -100     , -100     ,      8.145     ,      0.044     ,      0.00     , -100     , -100     ,      0.00  
NGC6287     ,      8.121     ,      0.030     ,      7.811     ,      0.046     ,      7.580     ,      0.045     ,      7.426     ,      0.044     ,      0.00     ,      0.00     ,      0.00     ,      0.00  
NGC6293     ,      7.440     ,      0.030     , -100     , -100     , -100     , -100     ,      6.999     ,      0.044     ,      0.00     , -100     , -100     ,      0.05  
NGC6304     ,      7.677     ,      0.030     , -100     , -100     , -100     , -100     ,      6.313     ,      0.044     ,      0.00     , -100     , -100     ,      0.00  
NGC6316     ,      8.131     ,      0.030     , -100     , -100     , -100     , -100     ,      7.090     ,      0.043     ,      0.00     , -100     , -100     ,      0.00  
NGC6333     ,      7.467     ,      0.032     , -100     , -100     , -100     , -100     ,      6.676     ,      0.044     ,      0.00     , -100     , -100     ,      0.00  
NGC6342     ,      9.327     ,      0.031     , -100     , -100     , -100     , -100     ,      8.231     ,      0.044     ,      0.00     , -100     , -100     ,      0.00  
NGC6356     ,      8.499     ,      0.031     , -100     , -100     , -100     , -100     ,      7.231     ,      0.048     ,      0.01     , -100     , -100     ,      0.03  
NGC6355     ,      7.413     ,      0.039     , -100     , -100     , -100     , -100     ,      6.908     ,      0.049     ,      0.00     , -100     , -100     ,      0.00  
NGC6352     ,      7.788     ,      0.035     , -100     , -100     , -100     , -100     ,      6.562     ,      0.044     ,      0.00     , -100     , -100     ,      0.00  
 IC1257     , -100     , -100     ,     10.927     ,      0.045     ,     10.719     ,      0.046     , -100     , -100     ,      -100    ,      0.12     ,      0.13     ,      -100 
NGC6366     ,      7.736     ,      0.031     , -100     , -100     , -100     , -100     ,      6.769     ,      0.044     ,      0.23     , -100     , -100     ,      0.10  
NGC6362     ,      8.429     ,      0.031     , -100     , -100     , -100     , -100     ,      7.334     ,      0.044     ,      0.00     , -100     , -100     ,      0.00  
NGC6388     ,      6.962     ,      0.030     , -100     , -100     , -100     , -100     ,      5.754     ,      0.044     ,      0.00     , -100     , -100     ,      0.00  
NGC6402     ,      7.503     ,      0.030     , -100     , -100     , -100     , -100     ,      6.203     ,      0.044     ,      0.00     , -100     , -100     ,      0.00  
NGC6401     ,      7.373     ,      0.036     , -100     , -100     , -100     , -100     , -100     , -100     , -100     , -100     , -100     , -100  
NGC6397     , -100     , -100     , -100     , -100     , -100     , -100     ,      5.450     ,      0.044     ,      0.00     , -100     , -100     ,      0.00  
NGC6426     ,     11.051     ,      0.031     , -100     , -100     , -100     , -100     ,     10.030     ,      0.044     ,      0.00     , -100     , -100     ,      0.00  
NGC6440     ,      7.504     ,      0.030     , -100     , -100     , -100     , -100     ,      6.080     ,      0.044     ,      0.00     , -100     , -100     ,      0.00  
NGC6441     ,      6.635     ,      0.030     , -100     , -100     , -100     , -100     ,      5.700     ,      0.044     ,      0.00     , -100     , -100     ,      0.00  
