				ID												RA											DEC								RAh	RAm	RAs			DECd	DECm	DECs				mag									mag_err				reff								reff_err					sersic_n				sersic_n_error			elon				elon_err					PA							PA_err														mag_nuclei													mag_nuclei_reff
54_442103_35_052803              54.442189              -35.052727           03 37 46.13     -35 03 09.8              19.83              0.00           10.31              0.13              0.71              0.02              0.98              0.01      -32.94          24.06                                    22.8317                      2.791           
54_577701_35_531003              54.578149              -35.530927           03 38 18.76     -35 31 51.3              16.72              0.00           47.96              0.12              0.85              0.00              0.68              0.00      -24.73           0.20                                    19.6269                      2.819           
54_654759_35_916716              54.655061              -35.917138           03 38 37.21     -35 55 01.7              19.39              0.01           17.70              0.14              0.80              0.01              0.52              0.00      -27.27           0.38                                    26.1025                      1.217           
54_656895_35_757331              54.656800              -35.757592           03 38 37.63     -35 45 27.3              18.80              0.01           30.51              0.26              0.73              0.01              0.80              0.00      -37.35           1.23                                    21.6837                      2.161           
54_688912_35_266575              54.688900              -35.266646           03 38 45.34     -35 15 59.9              17.60              0.00           36.33              0.14              0.91              0.00              0.69              0.00      -25.54           0.30                                    23.0388                      1.690           
54_725805_34_825580              54.725980              -34.825656           03 38 54.24     -34 49 32.4              19.68              0.04           23.88              0.63              0.59              0.03              0.62              0.02       -0.33           1.81                                    23.3918                      1.893           
54_774139_36_098721              54.773995              -36.099097           03 39 05.76     -36 05 56.7              16.90              0.00           26.46              0.05              0.85              0.00              0.74              0.00       -3.38           0.16                                    20.7951                      1.915           
54_958868_35_523092              54.958620              -35.522855           03 39 50.07     -35 31 22.3              18.87              0.01           26.79              0.38              1.06              0.03              0.92              0.01      -41.18           4.32                                    22.5231                      2.141           
54_980700_35_661877              54.980814              -35.661947           03 39 55.40     -35 39 43.0              18.20              0.00           35.16              0.18              0.63              0.01              0.69              0.00       87.74           0.48                                    24.1191                      2.209           
54_985072_35_622416              54.985092              -35.622365           03 39 56.42     -35 37 20.5              19.95              0.01           33.06              0.70              0.50              0.03              0.55              0.01      -49.88           1.36                                    22.1009                      2.419           
55_001772_34_722922              55.002304              -34.723117           03 40 00.55     -34 43 23.2              19.81              0.00           27.09              0.60              0.87              0.05              0.74              0.02      -39.92           3.07                                    21.8928                      2.575           
55_040740_35_836153              55.040341              -35.836294           03 40 09.68     -35 50 10.7              18.41              0.01           24.96              0.44              0.70              0.02              0.62              0.01       64.69           1.36                                    23.9385                      1.661           
55_065302_35_662351              55.065274              -35.662729           03 40 15.67     -35 39 45.8              20.11              0.01           17.60              0.30              0.56              0.02              0.99              0.01      -76.13          85.19                                    23.7770                      3.068           
55_080841_36_314024              55.080634              -36.313924           03 40 19.35     -36 18 50.1              19.59              0.02           36.47              0.90              0.96              0.04              0.68              0.01      -26.72           1.78                                    23.7294                      2.182           
55_098274_35_276528              55.097799              -35.276659           03 40 23.47     -35 16 36.0              15.96              0.00           52.02              0.08              1.00              0.00              0.93              0.00       41.84           0.55                                    23.9280                      1.723           
55_127805_35_877842              55.127717              -35.877950           03 40 30.65     -35 52 40.6              17.19              0.00           30.78              0.07              0.81              0.00              0.52              0.00      -46.21           0.11                                    24.6521                      1.227           
55_157318_36_120558              55.157215              -36.121158           03 40 37.73     -36 07 16.2              18.27              0.00           37.68              0.26              0.73              0.01              0.68              0.00      -44.48           0.59                                    24.0252                      1.880           
55_253364_35_742925              55.253216              -35.742658           03 41 00.77     -35 44 33.6              16.87              0.00           46.13              0.11              0.77              0.00              0.94              0.00      -49.87           1.16                                    19.8485                      2.679           
55_303762_35_158855              55.303447              -35.158797           03 41 12.83     -35 09 31.7              16.36              0.00           55.43              0.12              0.77              0.00              0.96              0.00      -64.55           1.58                                    19.5263                      3.525           
55_396048_35_440487              55.396002              -35.440146           03 41 35.04     -35 26 24.5              18.36              0.00           20.58              0.13              0.77              0.01              0.63              0.00      -21.59           0.41                                    22.8310                      1.984           
55_573950_35_472061              55.574258              -35.471924           03 42 17.82     -35 28 18.9              20.73              0.00           12.52              0.20              1.00              0.03              0.66              0.01       60.26           1.72                                    25.0209                      1.725           
55_605243_35_594724              55.605030              -35.594732           03 42 25.21     -35 35 41.0              19.39              0.01           26.38              0.34              0.60              0.02              0.97              0.01      -60.93          15.35                                    22.9567                      2.550           
