1226 187.4439383  8.0000332   3.219 21.325 0.050 21.271 0.042 22.477 0.057 22.477 0.037 0.0301 0.0041 0.0370 0.0050 1.00 0.022 11.0150  7.5360
1226 187.4455059  8.0010107   3.437 22.700 0.426 22.665 0.115 23.797 0.093 23.763 0.084 0.0319 0.0181 0.0283 0.0084 1.00 0.022 10.4730  7.4200
1226 187.4436038  8.0011660   4.942 21.669 0.043 21.608 0.036 23.038 0.046 22.988 0.046 0.0229 0.0042 0.0224 0.0052 1.00 0.022  7.8560  5.5080
1226 187.4448279  7.9986757   6.244 20.916 0.046 20.874 0.028 22.297 0.032 22.255 0.028 0.0238 0.0039 0.0286 0.0027 1.00 0.022  6.3150  4.4670
1226 187.4469413  7.9997839   8.081 21.217 0.031 21.164 0.027 22.557 0.029 22.511 0.029 0.0225 0.0033 0.0289 0.0029 1.00 0.022  4.4850  3.2670
1226 187.4451763  8.0026245   8.123 22.770 0.203 22.882 0.097 23.611 0.095 23.629 0.061 0.0574 0.0233 0.0411 0.0088 1.00 0.022  4.6930  3.4040
1226 187.4454712  8.0026666   8.523 22.125 0.087 22.114 0.080 23.073 0.038 23.032 0.036 0.0348 0.0086 0.0343 0.0030 1.00 0.022  4.4050  3.2010
1226 187.4474911  8.0010406   9.987 22.309 0.102 22.340 0.050 23.501 0.084 23.537 0.054 0.0638 0.0100 0.0419 0.0075 1.00 0.022  3.2730  2.4030
1226 187.4423850  7.9987706  10.310 21.171 0.036 21.147 0.029 22.102 0.020 22.076 0.015 0.0325 0.0035 0.0299 0.0014 1.00 0.022  3.1990  2.3020
1226 187.4448252  8.0033496  10.594 21.498 0.049 21.439 0.037 22.893 0.028 22.853 0.025 0.0184 0.0059 0.0148 0.0026 0.94 0.022  3.5490  2.5860
1226 187.4464555  7.9979555  10.688 23.410 0.578 23.437 0.167 23.974 0.512 23.926 0.101 0.0077 0.0898 0.0358 0.0105 0.99 0.022  3.5530  2.5730
1226 187.4468670  7.9982008  10.933 19.889 0.011 19.891 0.009 21.288 0.028 21.290 0.021 0.0375 0.0017 0.0349 0.0018 1.00 0.022  3.4110  2.4890
1226 187.4440948  8.0035453  11.557 23.374 0.101 23.318 0.099 24.089 0.123 24.095 0.085 0.0326 0.0079 0.0354 0.0097 0.99 0.022  3.2620  2.3900
1226 187.4471733  8.0027498  12.050 22.594 0.080 22.555 0.066 23.934 0.055 23.897 0.052 0.0270 0.0075 0.0141 0.0056 1.00 0.022  2.6650  1.9680
1226 187.4433294  8.0034903  12.210 22.090 0.045 22.024 0.046 23.492 0.052 23.445 0.049 0.0219 0.0052 0.0223 0.0041 1.00 0.022  3.0790  2.2590
1226 187.4450661  7.9969838  12.365 22.292 0.048 22.235 0.045 23.785 0.050 23.737 0.053 0.0144 0.0040 0.0270 0.0058 1.00 0.022  2.9960  2.1770
1226 187.4479377  7.9985460  13.171 22.025 0.027 21.956 0.026 23.261 0.109 23.220 0.032 0.0249 0.0035 0.0175 0.0046 1.00 0.022  2.6190  1.9270
1226 187.4444844  8.0040618  13.196 21.760 0.085 21.751 0.036 23.246 0.025 23.204 0.024 0.0310 0.0057 0.0260 0.0033 1.00 0.022  2.7710  2.0380
1226 187.4416614  7.9980605  13.917 21.132 0.022 21.109 0.013 21.966 0.044 21.938 0.044 0.0227 0.0020 0.0272 0.0058 1.00 0.022  2.2020  1.5970
1226 187.4454031  7.9965584  14.046 21.988 0.036 21.944 0.029 23.412 0.053 23.383 0.049 0.0293 0.0035 0.0266 0.0041 1.00 0.022  2.6100  1.9110
1226 187.4425816  7.9970962  14.215 22.491 0.320 22.962 0.076 24.052 0.119 24.063 0.089 0.1037 0.0660 0.0373 0.0116 0.91 0.022  2.2790  1.6560
1226 187.4417438  8.0030199  14.279 21.926 0.157 21.980 0.080 23.799 0.189 23.774 0.031 0.0434 0.0170 0.0176 0.0066 1.00 0.022  2.4790  1.8090
1226 187.4428366  7.9968289  14.598 20.381 0.020 20.352 0.016 21.664 0.015 21.641 0.012 0.0286 0.0020 0.0320 0.0016 1.00 0.022  2.2550  1.6390
1226 187.4479695  8.0029460  14.657 21.860 0.079 21.976 0.039 22.935 0.038 22.900 0.036 0.0561 0.0093 0.0454 0.0029 1.00 0.022  2.0570  1.5240
1226 187.4485905  7.9979953  16.178 21.422 0.024 21.363 0.020 22.863 0.028 22.813 0.028 0.0149 0.0018 0.0176 0.0039 0.93 0.022  2.0610  1.5260
1226 187.4494589  8.0009809  16.884 23.251 0.392 23.186 0.076 24.347 0.065 24.351 0.063 0.0229 0.0073 0.0227 0.0060 0.99 0.022  1.6990  1.2650
1226 187.4487275  7.9976176  17.362 22.240 0.358 22.179 0.080 23.996 1.213 23.952 0.118 0.0261 0.0078 0.0253 0.0113 1.00 0.022  1.9150  1.4210
1226 187.4459688  8.0050825  17.380 21.317 0.029 21.284 0.021 22.253 0.027 22.229 0.023 0.0301 0.0027 0.0278 0.0028 1.00 0.022  1.9100  1.4140
1226 187.4407561  8.0032889  17.633 23.512 0.374 23.449 0.107 24.424 0.043 24.384 0.043 0.0286 0.0085 0.0409 0.0055 0.99 0.022  1.9010  1.3950
1226 187.4495998  8.0014389  17.645 23.395 0.104 23.357 0.093 24.361 0.086 24.329 0.089 0.0320 0.0099 0.0228 0.0079 0.99 0.022  1.5890  1.1920
1226 187.4487482  8.0033304  17.692 23.592 0.090 23.528 0.088 24.868 0.590 24.837 0.110 0.0276 0.0063 0.0157 0.0112 0.98 0.022  1.6170  1.2080
1226 187.4399392  8.0016960  17.810 21.792 0.024 21.730 0.021 22.603 0.024 22.578 0.022 0.0216 0.0025 0.0276 0.0017 1.00 0.022  1.7410  1.2700
1226 187.4468997  7.9958395  18.127 19.943 0.024 20.020 0.011 21.507 0.022 21.550 0.012 0.0528 0.0028 0.0473 0.0023 1.00 0.022  1.9530  1.4390
1226 187.4491293  8.0030385  18.240 19.191 0.022 19.169 0.016 20.593 0.012 20.571 0.012 0.0304 0.0018 0.0280 0.0016 1.00 0.022  1.5380  1.1550
1226 187.4399884  7.9985326  18.295 21.200 0.021 21.143 0.016 22.646 0.021 22.601 0.020 0.0233 0.0012 0.0271 0.0026 1.00 0.022  1.5370  1.1290
1226 187.4497196  8.0022182  18.842 19.413 0.017 19.384 0.015 20.820 0.025 20.791 0.023 0.0317 0.0017 0.0265 0.0032 1.00 0.022  1.4580  1.0930
1226 187.4400486  7.9979204  19.032 22.523 0.231 22.455 0.073 23.368 0.063 23.332 0.066 0.0228 0.0070 0.0183 0.0073 1.00 0.022  1.4630  1.0730
1226 187.4394848  7.9991188  19.362 21.983 1.481 21.918 0.031 23.548 0.028 23.501 0.028 0.0233 0.0046 0.0276 0.0018 1.00 0.022  1.4330  1.0570
1226 187.4494784  8.0031413  19.497 21.476 0.033 21.471 0.021 22.513 0.022 22.490 0.019 0.0387 0.0026 0.0272 0.0016 1.00 0.022  1.4060  1.0620
1226 187.4421036  7.9956735  19.505 21.389 0.025 21.342 0.018 22.779 0.029 22.761 0.019 0.0330 0.0025 0.0369 0.0028 1.00 0.022  1.5660  1.1450
1226 187.4413722  7.9960508  19.800 21.566 0.024 21.523 0.019 23.040 0.028 23.023 0.021 0.0336 0.0026 0.0393 0.0023 1.00 0.022  1.4840  1.0840
1226 187.4500238  8.0026505  20.427 20.376 0.021 20.423 0.020 21.670 0.021 21.693 0.016 0.0441 0.0034 0.0406 0.0015 1.00 0.022  1.3090  0.9870
1226 187.4438794  7.9945295  21.387 18.688 0.020 18.865 0.008 20.246 0.028 20.420 0.013 0.0698 0.0026 0.0622 0.0037 1.00 0.022  1.5260  1.1270
1226 187.4429747  8.0061008  21.463 23.499 0.093 23.445 0.069 24.973 0.081 24.930 0.075 0.0321 0.0069 0.0355 0.0072 0.99 0.022  1.5930  1.1920
1226 187.4397698  7.9970483  21.518 22.289 0.044 22.235 0.040 23.664 0.024 23.615 0.023 0.0166 0.0031 0.0215 0.0031 0.98 0.022  1.2580  0.9300
1226 187.4447164  8.0067519  22.844 20.755 0.028 20.757 0.016 22.282 0.027 22.263 0.022 0.0382 0.0026 0.0352 0.0023 1.00 0.022  1.4260  1.0690
1226 187.4423648  7.9944928  22.939 23.054 0.297 23.459 0.121 24.717 0.142 24.734 0.098 0.1277 0.0469 0.0396 0.0137 0.59 0.022  1.3050  0.9670
1226 187.4440776  8.0068944  23.469 22.778 0.061 22.742 0.047 24.486 0.289 24.446 0.058 0.0354 0.0044 0.0271 0.0102 1.00 0.022  1.3960  1.0490
1226 187.4490244  7.9954387  23.481 22.181 0.085 22.236 0.032 23.931 0.121 23.967 0.051 0.0655 0.0070 0.0620 0.0132 0.98 0.022  1.3750  1.0280
1226 187.4511915  7.9980711  24.433 23.870 0.531 23.846 0.084 24.710 0.164 24.790 0.082 0.0126 0.0078 0.0497 0.0184 0.99 0.022  1.1470  0.8670
1226 187.4389930  8.0043180  24.928 23.011 0.111 23.042 0.074 24.047 0.110 24.093 0.068 0.0439 0.0113 0.0443 0.0100 0.99 0.022  1.2110  0.9020
1226 187.4444730  8.0073758  25.104 22.891 0.062 22.864 0.050 24.294 0.078 24.262 0.078 0.0233 0.0042 0.0244 0.0073 1.00 0.022  1.2600  0.9540
1226 187.4515193  7.9983778  25.173 20.398 0.042 20.503 0.010 21.237 0.029 21.308 0.009 0.0690 0.0040 0.0647 0.0021 1.00 0.022  1.0840  0.8230
1226 187.4512490  7.9976069  25.257 23.413 0.215 23.446 0.108 24.739 0.095 24.728 0.079 0.0483 0.0232 0.0290 0.0073 0.99 0.022  1.1140  0.8450
1226 187.4517469  7.9988995  25.475 22.225 0.043 22.191 0.038 23.435 0.034 23.410 0.029 0.0271 0.0031 0.0267 0.0034 1.00 0.022  1.0380  0.7910
1226 187.4465792  8.0073274  25.740 22.089 0.045 22.085 0.030 23.000 0.045 22.980 0.035 0.0362 0.0039 0.0259 0.0042 1.00 0.022  1.1350  0.8600
1226 187.4514156  7.9973914  26.092 23.439 0.123 23.475 0.088 24.066 0.128 24.178 0.081 0.0732 0.0084 0.0624 0.0124 0.81 0.022  1.0680  0.8140
1226 187.4485156  8.0066473  26.152 21.261 0.030 21.227 0.025 22.260 0.041 22.213 0.039 0.0283 0.0028 0.0264 0.0039 1.00 0.022  1.0300  0.7880
