|                ID |            RA |            DEC |      RA_hms |      DEC_dms |
| NGFS033620-343539 |     54.083365 |     -34.594147 | 03:36:20.01 | -34:35:38.93 |
| NGFS033624-353122 |     54.098615 |      -35.52268 | 03:36:23.67 | -35:31:21.65 |
| NGFS033624-355242 |     54.099567 |     -35.878437 | 03:36:23.90 | -35:52:42.37 |
| NGFS033625-344447 |      54.10451 |     -34.746349 | 03:36:25.08 | -34:44:46.86 |
| NGFS033625-354212 |     54.104877 |     -35.703291 | 03:36:25.17 | -35:42:11.85 |
| NGFS033627-353821 |     54.110988 |     -35.639164 | 03:36:26.64 | -35:38:20.99 |
| NGFS033631-344755 |      54.12838 |     -34.798487 | 03:36:30.81 | -34:47:54.55 |
| NGFS033631-362248 |     54.130173 |     -36.380022 | 03:36:31.24 | -36:22:48.08 |
| NGFS033633-360804 |     54.135644 |     -36.134365 | 03:36:32.55 | -36:08:03.71 |
| NGFS033639-353641 |     54.160631 |     -35.611326 | 03:36:38.55 | -35:36:40.77 |
| NGFS033641-353520 |     54.169379 |     -35.588968 | 03:36:40.65 | -35:35:20.28 |
| NGFS033642-344241 |     54.174171 |     -34.711461 | 03:36:41.80 | -34:42:41.26 |
| NGFS033643-352609 |     54.179157 |     -35.435803 | 03:36:43.00 | -35:26:08.89 |
| NGFS033644-360343 |     54.182443 |     -36.062021 | 03:36:43.79 | -36:03:43.28 |
| NGFS033646-355527 |     54.191307 |     -35.924264 | 03:36:45.91 | -35:55:27.35 |
| NGFS033649-361348 |     54.204847 |     -36.229999 | 03:36:49.16 | -36:13:48.00 |
| NGFS033650-345655 |     54.208147 |     -34.948504 | 03:36:49.96 | -34:56:54.61 |
| NGFS033652-360840 |     54.217835 |     -36.144507 | 03:36:52.28 | -36:08:40.23 |
| NGFS033654-355541 |     54.225296 |     -35.928023 | 03:36:54.07 | -35:55:40.88 |
| NGFS033654-354450 |     54.226572 |     -35.747144 | 03:36:54.38 | -35:44:49.72 |
| NGFS033655-362112 |     54.228827 |     -36.353391 | 03:36:54.92 | -36:21:12.21 |
| NGFS033655-355640 |     54.229109 |     -35.944392 | 03:36:54.99 | -35:56:39.81 |
| NGFS033703-345233 |     54.261056 |     -34.875774 | 03:37:02.65 | -34:52:32.79 |
| NGFS033713-361528 |      54.30383 |      -36.25789 | 03:37:12.92 | -36:15:28.40 |
| NGFS033715-344205 |     54.312749 |     -34.701412 | 03:37:15.06 | -34:42:05.08 |
| NGFS033716-352130 |     54.315355 |     -35.358242 | 03:37:15.69 | -35:21:29.67 |
| NGFS033716-354701 |     54.315665 |     -35.783657 | 03:37:15.76 | -35:47:01.17 |
| NGFS033720-353118 |     54.332849 |     -35.521601 | 03:37:19.88 | -35:31:17.76 |
| NGFS033723-345401 |     54.346543 |     -34.900292 | 03:37:23.17 | -34:54:01.05 |
| NGFS033735-343400 |     54.393832 |     -34.566501 | 03:37:34.52 | -34:33:59.40 |
| NGFS033737-344430 |     54.403584 |     -34.741585 | 03:37:36.86 | -34:44:29.71 |
| NGFS033738-352308 |       54.4104 |       -35.3855 | 03:37:38.50 | -35:23:07.80 |
| NGFS033741-351746 |       54.4212 |     -35.296146 | 03:37:41.09 | -35:17:46.13 |
| NGFS033741-361026 |     54.420634 |      -36.17391 | 03:37:40.95 | -36:10:26.08 |
| NGFS033742-355721 |     54.424789 |     -35.955757 | 03:37:41.95 | -35:57:20.73 |
| NGFS033744-354214 |     54.435199 |     -35.703984 | 03:37:44.45 | -35:42:14.34 |
| NGFS033750-353302 |     54.457799 |     -35.550438 | 03:37:49.87 | -35:33:01.58 |
| NGFS033751-352146 |     54.462119 |     -35.362881 | 03:37:50.91 | -35:21:46.37 |
| NGFS033755-345256 |     54.477823 |     -34.882293 | 03:37:54.68 | -34:52:56.25 |
| NGFS033806-360301 |      54.52609 |     -36.050146 | 03:38:06.26 | -36:03:00.53 |
| NGFS033807-353531 |       54.5279 |        -35.592 | 03:38:06.70 | -35:35:31.20 |
| NGFS033808-360420 |      54.53133 |     -36.072092 | 03:38:07.52 | -36:04:19.53 |
| NGFS033808-360030 |     54.535271 |     -36.008354 | 03:38:08.47 | -36:00:30.07 |
| NGFS033809-350954 |     54.535921 |     -35.165108 | 03:38:08.62 | -35:09:54.39 |
| NGFS033811-362016 |     54.545856 |     -36.337657 | 03:38:11.01 | -36:20:15.57 |
| NGFS033815-350722 |     54.562036 |     -35.122848 | 03:38:14.89 | -35:07:22.25 |
| NGFS033815-361652 |      54.56416 |     -36.281169 | 03:38:15.40 | -36:16:52.21 |
| NGFS033818-344028 |     54.575622 |     -34.674438 | 03:38:18.15 | -34:40:27.98 |
| NGFS033819-360357 |     54.580131 |     -36.065719 | 03:38:19.23 | -36:03:56.59 |
| NGFS033822-345537 |     54.593667 |     -34.926927 | 03:38:22.48 | -34:55:36.94 |
| NGFS033823-354537 |     54.595511 |     -35.760315 | 03:38:22.92 | -35:45:37.13 |
| NGFS033825-360418 |     54.603971 |     -36.071598 | 03:38:24.95 | -36:04:17.75 |
| NGFS033826-360545 |     54.606718 |       -36.0957 | 03:38:25.61 | -36:05:44.52 |
| NGFS033827-350907 |     54.613447 |     -35.152073 | 03:38:27.23 | -35:09:07.46 |
| NGFS033831-344629 |     54.631123 |     -34.774638 | 03:38:31.47 | -34:46:28.70 |
| NGFS033837-355002 |      54.65258 |     -35.833946 | 03:38:36.62 | -35:50:02.21 |
| NGFS033842-353308 |     54.675859 |      -35.55213 | 03:38:42.21 | -35:33:07.67 |
| NGFS033847-345913 |     54.695702 |     -34.986876 | 03:38:46.97 | -34:59:12.75 |
| NGFS033852-361804 |     54.716789 |     -36.301054 | 03:38:52.03 | -36:18:03.79 |
| NGFS033854-355912 |      54.72582 |     -35.986665 | 03:38:54.20 | -35:59:11.99 |
| NGFS033855-351413 |     54.729368 |        -35.237 | 03:38:55.05 | -35:14:13.20 |
| NGFS033858-351105 |     54.739897 |     -35.184658 | 03:38:57.58 | -35:11:04.77 |
| NGFS033859-354428 |     54.745801 |     -35.741138 | 03:38:58.99 | -35:44:28.10 |
| NGFS033901-362019 |     54.753401 |     -36.338584 | 03:39:00.82 | -36:20:18.90 |
| NGFS033907-350722 |      54.77949 |     -35.122876 | 03:39:07.08 | -35:07:22.35 |
| NGFS033916-350021 |     54.816614 |     -35.005877 | 03:39:15.99 | -35:00:21.16 |
| NGFS033917-354645 |     54.822072 |     -35.779284 | 03:39:17.30 | -35:46:45.42 |
