				ID												RA											DEC								RAh	RAm	RAs			DECd	DECm	DECs							mag									mag_err				reff								reff_err					sersic_n				sersic_n_error			elon				elon_err					PA							PA_err								flag
53_732904_35_461180              53.732771              -35.461505           03 34 55.87     -35 27 41.4                    22.45              0.00            8.43              0.36              0.59              0.09              0.44              0.03       31.42           2.45                    new                                                          
53_735537_35_687196              53.735651              -35.687366           03 34 56.56     -35 41 14.5                    21.53              0.00           11.92              0.45              0.73              0.07              0.70              0.03       82.80           4.87                    new                                                          
53_739347_35_223394              53.739835              -35.223450           03 34 57.56     -35 13 24.4                    19.23              0.01           21.53              0.30              1.00              0.02              0.71              0.01       41.32           1.16                    old                                                          
53_750431_35_322367              53.750845              -35.322295           03 35 00.20     -35 19 20.3                    18.75              0.00           22.99              0.18              0.81              0.01              0.77              0.00       56.14           0.96                    old                                                          
53_772552_35_450631              53.772229              -35.450817           03 35 05.33     -35 27 02.9                    20.01              0.02           32.59              0.80              0.77              0.03              0.55              0.01       83.71           1.22                    old                                                          
53_772834_35_218354              53.772831              -35.218592           03 35 05.48     -35 13 06.9                    18.42              0.00           19.63              0.13              0.77              0.01              0.73              0.01       -5.82           0.93                    new                                                          
53_799965_35_434004              53.799719              -35.434218           03 35 11.93     -35 26 03.2                    21.27              0.00           15.50              0.62              1.35              0.08              0.63              0.03       89.51           3.44                    new                                                          
53_814924_35_503634              53.814204              -35.503450           03 35 15.41     -35 30 12.4                    22.38              0.00           19.71              0.82              0.08              0.06              0.35              0.02       66.35           1.74                    new                                                          
53_849250_36_091686              53.849200              -36.091600           03 35 23.81     -36 05 29.8                    19.40              0.01           23.87              0.25              0.68              0.01              0.65              0.00      -18.34           0.80                    old                                                          
53_876170_35_252134              53.876525              -35.252294           03 35 30.37     -35 15 08.3                    18.39              0.01           42.52              0.35              0.87              0.01              0.48              0.00       48.06           0.31                    old                                                          
53_890849_34_804632              53.891461              -34.804781           03 35 33.95     -34 48 17.2                    17.60              0.00           29.40              0.08              0.70              0.00              0.68              0.00       20.44           0.22                    old                                                          
53_908651_35_093882              53.908864              -35.094240           03 35 38.13     -35 05 39.3                    21.99              0.03            7.86              0.39              0.69              0.08              0.83              0.03      -56.31           9.35                    old                                                          
53_927737_35_338164              53.928093              -35.338458           03 35 42.74     -35 20 18.4                    16.58              0.00           48.22              0.11              0.89              0.00              0.71              0.00      -12.51           0.18                    new                                                          
53_929346_35_847075              53.929432              -35.847585           03 35 43.06     -35 50 51.3                    20.09              0.00           20.91              0.39              0.64              0.03              0.81              0.02        4.68           3.89                    new                                                          
53_947079_35_361855              53.947250              -35.361778           03 35 47.34     -35 21 42.4                    20.87              0.00           14.53              0.34              1.06              0.05              0.54              0.02       48.30           1.64                    new                                                          
53_956606_35_707844              53.956502              -35.708022           03 35 49.56     -35 42 28.9                    22.29              0.00            4.14              0.24              1.20              0.20              0.83              0.07      -24.16          15.28                    new                                                          
53_965783_34_921944              53.966222              -34.921440           03 35 51.89     -34 55 17.2                    21.92              0.00            6.21              0.26              0.91              0.10              0.90              0.05      -80.01          17.67                    new                                                          
53_982479_34_828099              53.981764              -34.828508           03 35 55.62     -34 49 42.6                    17.55              0.00           51.88              0.23              0.75              0.00              0.50              0.00       79.21           0.18                    old                                                          
53_988021_34_633059              53.987937              -34.632328           03 35 57.10     -34 37 56.4                    18.68              0.01           23.53              0.34              1.01              0.02              0.49              0.01      -16.57           0.65                    old                                                          
53_991062_35_348115              53.991060              -35.348000           03 35 57.85     -35 20 52.8                    19.30              0.01           16.03              0.12              0.72              0.01              0.64              0.00       87.71           0.54                    old                                                          
54_000821_35_935951              54.000458              -35.936191           03 36 00.11     -35 56 10.3                    21.52              0.00           13.95              0.47              0.39              0.05              0.93              0.04      -45.96          23.10                    new                                                          
54_001093_34_877702              54.000817              -34.877802           03 36 00.20     -34 52 40.1                    19.44              0.00           29.05              0.42              0.70              0.02              0.77              0.01       -8.19           2.69                    new                                                          
54_004476_36_257775              54.004474              -36.257919           03 36 01.07     -36 15 28.5                    20.34              0.01           13.97              0.25              0.72              0.02              0.77              0.01       24.77           2.21                    old                                                          
54_007253_35_311082              54.007345              -35.310717           03 36 01.76     -35 18 38.6                    20.97              0.02           10.93              0.29              0.84              0.04              0.77              0.01       85.01           3.16                    old                                                          
54_010521_36_354278              54.010699              -36.354512           03 36 02.57     -36 21 16.2                    21.52              0.00           11.77              0.53              1.26              0.11              0.61              0.03       51.97           4.00                    new                                                          
54_018987_36_335912              54.018900              -36.335900           03 36 04.54     -36 20 09.2                    20.05              0.02           27.23              0.68              0.67              0.03              0.69              0.01       24.93           2.24                    old                                                          
54_027596_35_842648              54.027772              -35.842585           03 36 06.67     -35 50 33.3                    18.61              0.01           46.12              0.45              0.60              0.01              0.65              0.00       88.23           0.83                    old                                                          
54_035132_35_987013              54.035091              -35.986927           03 36 08.42     -35 59 12.9                    21.07              0.03           15.25              0.64              1.28              0.06              0.39              0.01       75.44           1.01                    old                                                          
54_039280_35_650737              54.039279              -35.650919           03 36 09.43     -35 39 03.3                    21.05              0.00            7.30              0.11              0.87              0.04              0.78              0.02       70.99           2.99                    new                                                          
