21.55    0.86    1.1  
19.06    0.82    2.4  
21.36    0.65    2.0  
21.11    1.15    1.0  
21.85    0.79    0.9  
18.24    0.92    6.2  
21.95    1.75    1.4  
21.90    1.15    1.0  
20.75    0.89    0.9  
21.69    1.41    0.8  
18.39    0.75    2.7  
21.07    _       4.2  
21.33    _       3.4  
21.86    0.68    1.3  
20.15    1.17    1.5  
19.06    1.03    5.2  
21.96    1.07    1.8  
19.28    1.33    1.6  
21.87    0.74    1.2  
21.92    1.38    1.3  
20.61    1.25    1.1  
21.90    0.64    0.8  
20.10    1.07    1.2  
20.75    1.50    1.0  
21.06    0.67    2.0  
18.54    1.29    2.7  
21.09    0.80    1.3  
21.35    0.73    0.9  
21.76    1.23    3.3  
20.95    1.73    1.7  
19.94    0.84    1.4  
21.80    0.93    2.3  
21.70    1.36    0.8  
21.87    1.83    0.9  
19.57    0.70    1.0  
21.91    1.13    1.6  
21.78    2.13    1.0  
20.87    0.96    1.8  
21.42    0.79    1.1  
21.34    1.56    1.1  
20.36    1.31    2.0  
21.57    0.98    1.2  
17.74    1.31    3.5  
21.08    1.06    1.2  
21.60    1.30    2.0  
21.36    0.72    1.0  
21.42    0.89    1.6  
20.03    1.25    1.5  
21.97    0.96    0.7  
20.08    1.28    1.6  
21.64    1.12    1.2  
20.09    0.99    6.7  
21.97    0.87    1.0  
21.26    _       1.0  
21.73    1.39    1.9  
20.49    _       0.8  
21.44    _       1.6  
21.88    _       1.1  
21.85    _       1.2  
21.79    _       1.0  
21.95    _       1.0  
21.87    _       1.2  
21.86    _       1.6  
21.11   -1.38    1.2  
20.44    1.01    1.6  
21.68    1.07    1.8  
21.60    1.08    2.2  
21.82    1.02    1.0  
21.78    1.66    0.9  
21.15    1.23    1.7  
21.51    1.51    1.0  
21.50    0.61    1.2  
21.85    1.40    1.5  
17.63    1.05   12.2  
21.27    1.88    2.1  
20.83    1.06    1.8  
21.86    1.02    1.0  
21.92    0.76    1.0  
21.89    1.10    1.0  
19.66    0.89    5.0  
21.18    _       6.7  
21.29    1.24    1.0  
21.78    1.65    1.2  
21.00    _       2.7  
20.94    2.03    1.5  
21.97    1.07    1.2  
21.48    1.67    2.0  
21.21    0.92    1.5  
19.41    1.42    1.4  
20.70    1.54    1.3  
21.67    0.87    1.5  
21.11    1.04    0.9  
20.48    1.19    1.7  
21.41    1.89    2.0  
21.97    2.30    1.2  
21.28    1.57    1.4  
21.51    1.46    1.1  
21.36    2.07    1.2  
21.06    1.78    1.2  
21.94    0.86    1.3  
21.01    2.34    1.4  
21.93    1.27    1.5  
20.57    1.69    1.0  
21.60    0.82    1.2  
21.55    1.63    1.0  
21.77    _       2.8  
21.49    0.73    1.0  
20.59    1.77    1.5  
21.15    1.02    1.1  
21.81    1.38    1.1  
21.28    0.73    1.0  
20.33    1.01    1.2  
19.95    1.07    1.6  
20.18    1.60    1.2  
20.93    1.73    7.9  
21.43    1.70    1.2  
21.76    0.81    1.6  
21.27    0.99    1.4  
21.52    1.00    1.0  
21.35    2.19    1.6  
21.14    0.60    1.0  
20.99    0.71    1.7  
18.88    1.14    5.5  
19.04    0.71    2.0  
21.45    0.79    1.2  
21.39    1.09    1.3  
21.98    0.87    1.2  
21.90    0.79    1.0  
20.41    0.96    1.6  
21.67    1.69    2.1  
21.10    1.75    1.2  
21.76    1.51    1.6  
20.59    0.44    1.6  
21.57    1.06    1.3  
20.14    0.94    1.8  
19.10    0.83    2.0  
21.82    1.47    1.6  
20.79    0.85    1.9  
21.17    1.03    1.2  
21.06    2.23    1.4  
20.97    0.92    1.2  
20.19    1.51    1.4  
21.47    1.47    1.4  
21.66    0.65    1.1  
21.59    0.86    1.2  
21.79    1.26    1.0  
21.63    0.71    1.0  
21.49    1.06    2.0  
20.86    0.98    2.4  
