#Table 1 from Liu et al. 2015, 
#
#Name 			Ra(J2000) 	Dec(J2000) 	g′  	(u∗−g′) 	(g′−i′) 	(i′−z′)		Re,NGVS 	Re,HST  <mu_g′>e
M59-UCD3∗ 	190.5460471	11.6447937 	16.74 	1.63 			1.10 			0.28		25 	2			NaN			16.42			
M60-UCD1 		190.8998699	11.5346389 	17.49 	1.77 			1.13			0.27		36	2			27			17.72 
M59cO 			190.4805689	11.6677212 	17.93 	1.70 			1.11			0.27		37	2			35			18.50
