|                ID |           RA |          DEC |      RA_hms |      DEC_dms |    m_i |    M_i | sersic_n | reff_arcsec | reff_kpc |     Reference |         MType |
| NGFS034019-361850 |    55.080634 |   -36.313924 | 03:40:19.35 | -36:18:50.13 |  19.59 | -11.92 |     0.96 |       9.592 |    0.930 |               |               |
| NGFS033653-345619 |    54.221898 |   -34.938538 | 03:36:53.26 | -34:56:18.74 |  16.47 | -15.04 |     0.79 |       9.749 |    0.945 |        FCC181 |         dE2,N |
| NGFS034038-360716 |    55.157215 |   -36.121158 | 03:40:37.73 | -36:07:16.17 |  18.27 | -13.24 |     0.73 |       9.910 |    0.961 |        FCC246 |           dE2 |
| NGFS033458-350235 |    53.742468 |   -35.043002 | 03:34:58.19 | -35:02:34.81 |  17.85 | -13.66 |     1.34 |      10.244 |    0.993 |        FCC142 |         dE2,N |
| NGFS033525-361044 |    53.854897 |   -36.179021 | 03:35:25.18 | -36:10:44.48 |  17.54 | -13.97 |     1.04 |      10.283 |    0.997 |        FCC151 |        dE0,N? |
| NGFS033700-352035 |    54.249000 |   -35.343000 | 03:36:59.76 | -35:20:34.80 |  18.48 | -13.03 |     0.89 |      10.512 |    1.019 |      WFLSB4_4 |               |
| NGFS034217-353227 |    55.571741 |   -35.540775 | 03:42:17.22 | -35:32:26.79 |  15.70 | -15.81 |     1.00 |      11.162 |    1.082 |        FCC274 |         dE0,N |
| NGFS034050-354454 |    55.209934 |   -35.748460 | 03:40:50.38 | -35:44:54.46 |  14.92 | -16.59 |     1.14 |      11.419 |    1.107 |        FCC252 |         dE0,N |
| NGFS034027-362957 |    55.112400 |   -36.499083 | 03:40:26.98 | -36:29:56.70 |  15.55 | -15.96 |     1.15 |      11.462 |    1.111 |        FCC243 |         dE1,N |
| NGFS033734-354945 |    54.391709 |   -35.829211 | 03:37:34.01 | -35:49:45.16 |  16.93 | -14.58 |     0.88 |      11.827 |    1.147 |        FCC196 |           dE6 |
| NGFS033420-352145 |    53.583890 |   -35.362628 | 03:34:20.13 | -35:21:45.46 |  16.78 | -14.73 |     1.05 |      11.840 |    1.148 |        FCC133 |         dE0,N |
| NGFS033705-353525 |    54.268760 |   -35.590182 | 03:37:04.50 | -35:35:24.66 |  15.14 | -16.37 |     0.91 |      11.959 |    1.160 |        FCC188 |         dE0,N |
| NGFS033604-352320 |    54.016784 |   -35.388877 | 03:36:04.03 | -35:23:19.96 |  16.63 | -14.88 |     1.05 |      12.022 |    1.166 |        FCC160 |         dE1,N |
| NGFS034101-354434 |    55.253216 |   -35.742658 | 03:41:00.77 | -35:44:33.57 |  16.87 | -14.64 |     0.77 |      12.132 |    1.176 |        FCC254 |         dE0,N |
| NGFS033543-353051 |    53.928168 |   -35.514147 | 03:35:42.76 | -35:30:50.93 |  17.62 | -13.89 |     0.89 |      12.214 |    1.184 |        FCC157 |        dE0,N? |
| NGFS033444-355141 |    53.683823 |   -35.861480 | 03:34:44.12 | -35:51:41.33 |  16.17 | -15.34 |     1.05 |      12.537 |    1.216 |        FCC137 |         dE0,N |
| NGFS033819-353151 |    54.578149 |   -35.530927 | 03:38:18.76 | -35:31:51.34 |  16.72 | -14.79 |     0.85 |      12.613 |    1.223 |        FCC208 |         dE2,N |
| NGFS033653-362911 |    54.219356 |   -36.486511 | 03:36:52.65 | -36:29:11.44 |  16.56 | -14.95 |     0.95 |      12.750 |    1.236 |        FCC183 |      dS0(7),N |
| NGFS033624-355442 |    54.098334 |   -35.911538 | 03:36:23.60 | -35:54:41.54 |  16.81 | -14.70 |     0.76 |      12.916 |    1.252 |        FCC165 |           dE6 |
| NGFS034034-350122 |    55.140862 |   -35.022865 | 03:40:33.81 | -35:01:22.31 |  14.99 | -16.52 |     1.36 |      13.300 |    1.290 |        FCC245 |         dE0,N |
| NGFS033807-352624 |    54.527266 |   -35.439882 | 03:38:06.54 | -35:26:23.58 |  14.06 | -17.45 |     1.69 |      13.460 |    1.305 |        FCC202 |        d:E6,N |
| NGFS034023-351636 |    55.097799 |   -35.276659 | 03:40:23.47 | -35:16:35.97 |  15.96 | -15.55 |     1.00 |      13.681 |    1.327 |        FCC241 |         dE0,N |
| NGFS034113-350932 |    55.303447 |   -35.158797 | 03:41:12.83 | -35:09:31.67 |  16.36 | -15.15 |     0.77 |      14.578 |    1.414 |        FCC260 |         dE0,N |
| NGFS033637-352309 |    54.155160 |   -35.385909 | 03:36:37.24 | -35:23:09.27 |  17.56 | -13.95 |     1.21 |      16.377 |    1.588 |        FCC171 |        dE0,N? |
| NGFS033913-352217 |    54.805246 |   -35.371481 | 03:39:13.26 | -35:22:17.33 |  14.45 | -17.06 |     1.37 |      16.779 |    1.627 |        FCC222 |         dE0,N |
| NGFS033429-353241 |    53.622528 |   -35.544725 | 03:34:29.41 | -35:32:41.01 |  13.55 | -17.96 |     1.90 |      17.545 |    1.701 |        FCC136 |         dE2,N |
| NGFS033546-355921 |    53.942720 |   -35.989296 | 03:35:46.25 | -35:59:21.47 |  16.15 | -15.36 |     0.83 |      17.629 |    1.709 |        FCC158 |         dE6,N |
| NGFS033657-355011 |    54.238300 |   -35.836500 | 03:36:57.19 | -35:50:11.40 |    nan |    nan |      nan |         nan |      nan |     WFLSB10-5 |               |
| NGFS034044-361108 |    55.182713 |   -36.185439 | 03:40:43.85 | -36:11:07.58 |    nan |    nan |      nan |         nan |      nan |               |               |
| NGFS033453-353411 |    53.719671 |   -35.569758 | 03:34:52.72 | -35:34:11.13 |    nan |    nan |      nan |         nan |      nan |               |               |
| NGFS033920-354329 |    54.831847 |   -35.724648 | 03:39:19.64 | -35:43:28.73 |    nan |    nan |      nan |         nan |      nan |        FCC223 |         dE0,N |
| NGFS034107-353052 |    55.279993 |   -35.514436 | 03:41:07.20 | -35:30:51.97 |    nan |    nan |      nan |         nan |      nan |        FCC259 |           dE2 |
