	ID							RA						DEC					RAh RAm RAs		DECd DECm DECs
54_174061_34_710967              54.174171              -34.711461           03 36 41.80     -34 42 41.3                                                
54_179343_35_435764              54.179157              -35.435803           03 36 43.00     -35 26 08.9                                                
54_182920_36_061547              54.182443              -36.062021           03 36 43.79     -36 03 43.3                                                
54_191855_35_923963              54.191307              -35.924264           03 36 45.91     -35 55 27.4                                                
54_205317_36_230112              54.204847              -36.229999           03 36 49.16     -36 13 48.0                                                
54_207702_34_948430              54.208147              -34.948504           03 36 49.96     -34 56 54.6                                                
54_217901_36_144548              54.217835              -36.144507           03 36 52.28     -36 08 40.2                                                
54_225304_35_927857              54.225296              -35.928023           03 36 54.07     -35 55 40.9                                                
54_226584_35_746638              54.226572              -35.747144           03 36 54.38     -35 44 49.7                                                
54_229175_36_353167              54.228827              -36.353391           03 36 54.92     -36 21 12.2                                                
54_229207_35_944156              54.229109              -35.944392           03 36 54.99     -35 56 39.8                                                
54_260718_34_875750              54.261056              -34.875774           03 37 02.65     -34 52 32.8                                                
54_303837_36_257890              54.303830              -36.257890           03 37 12.92     -36 15 28.4                                                
54_312696_34_701092              54.312749              -34.701412           03 37 15.06     -34 42 05.1                                                
54_315217_35_357873              54.315355              -35.358242           03 37 15.69     -35 21 29.7                                                
54_316117_35_783222              54.315665              -35.783657           03 37 15.76     -35 47 01.2                                                
54_332503_35_521675              54.332849              -35.521601           03 37 19.88     -35 31 17.8                                                
54_346927_34_900539              54.346543              -34.900292           03 37 23.17     -34 54 01.1                                                
54_393361_34_566559              54.393832              -34.566501           03 37 34.52     -34 33 59.4                                                
54_403239_34_741404              54.403584              -34.741585           03 37 36.86     -34 44 29.7                                                
54_410467_35_385560              54.410400              -35.385500           03 37 38.50     -35 23 07.8                                                
54_421274_35_296164              54.421200              -35.296146           03 37 41.09     -35 17 46.1                                                
54_421549_36_173427              54.420634              -36.173910           03 37 40.95     -36 10 26.1                                                
54_424704_35_955186              54.424789              -35.955757           03 37 41.95     -35 57 20.7                                                
54_435270_35_703485              54.435199              -35.703984           03 37 44.45     -35 42 14.3                                                
54_457849_35_550253              54.457799              -35.550438           03 37 49.87     -35 33 01.6                                                
54_461294_35_362599              54.462119              -35.362881           03 37 50.91     -35 21 46.4                                                
54_477239_34_882137              54.477823              -34.882293           03 37 54.68     -34 52 56.3                                                
54_526099_36_050424              54.526090              -36.050146           03 38 06.26     -36 03 00.5                                                
54_527956_35_592435              54.527900              -35.592000           03 38 06.70     -35 35 31.2                                                
