23.612           2.003
23.6367          2.167
23.0697          2.96
23.1881          1.986
20.8568          2.231
21.6777          1.653
23.4172          3.154
22.5014          1.851
21.6941          2.099
23.011           1.834
23.2127          1.534
22.704           1.867
20.4915          2.175
21.8411          3.143
23.0021          1.538
24.4613          1.24
21.5019          2.253
20.1988          2.839
23.6461          2.316
21.0743          1.969
21.3055          3.25
24.7823          1.971
23.6551          2.147
21.9933          2.07
23.8467          1.754
25.2755          1.898
22.0563          1.792
24.7383          2.468
22.8627          1.752
22.8317          2.791
19.6269          2.819
26.1025          1.217
21.6837          2.161
23.0388          1.69
23.3918          1.893
20.7951          1.915
22.5231          2.141
24.1191          2.209
22.1009          2.419
21.8928          2.575
23.9385          1.661
23.777          3.068
23.7294          2.182
23.928          1.723
24.6521          1.227
24.0252          1.88
19.8485          2.679
19.5263          3.525
22.831          1.984
25.0209          1.725
22.9567          2.55
