|                ID |           RA |          DEC |      RA_hms |      DEC_dms |    m_i |    M_i | sersic_n | reff_arcsec | reff_kpc |
|            FCC132 |    53.576058 |   -35.794642 | 03:34:18.25 | -35:47:40.71 |  17.51 | -14.03 |     0.93 |       5.894 |    0.453 |
| NGFS033422-353349 |    53.590659 |   -35.563703 | 03:34:21.76 | -35:33:49.33 |  22.10 |  -9.44 |     0.50 |       1.176 |    0.572 |
| NGFS033423-355042 |    53.597238 |   -35.844970 | 03:34:23.34 | -35:50:41.89 |  19.69 | -11.85 |     0.73 |       8.595 |    0.510 |
| NGFS033425-355805 |    53.602888 |   -35.968020 | 03:34:24.69 | -35:58:04.87 |  20.94 | -10.60 |     1.46 |       3.082 |    0.542 |
| NGFS033427-350621 |    53.613253 |   -35.105768 | 03:34:27.18 | -35:06:20.76 |  21.06 | -10.48 |     0.95 |       4.726 |    0.545 |
| NGFS033428-354837 |    53.618306 |   -35.810364 | 03:34:28.39 | -35:48:37.31 |  20.28 | -11.26 |     1.03 |       2.204 |    0.525 |
| NGFS033429-345640 |    53.618841 |   -34.944465 | 03:34:28.52 | -34:56:40.07 |  22.63 |  -8.91 |     0.74 |       3.477 |    0.586 |
| NGFS033433-350236 |    53.635630 |   -35.043195 | 03:34:32.55 | -35:02:35.50 |  20.89 | -10.65 |     0.78 |       5.052 |    0.541 |
| NGFS033436-360315 |    53.651586 |   -36.054242 | 03:34:36.38 | -36:03:15.27 |  21.07 | -10.47 |     0.62 |       5.807 |    0.545 |
| NGFS033443-353115 |    53.680791 |   -35.520855 | 03:34:43.39 | -35:31:15.08 |  20.96 | -10.58 |     0.74 |       3.821 |    0.543 |
| NGFS033446-354239 |    53.692022 |   -35.710803 | 03:34:46.09 | -35:42:38.89 |  20.93 | -10.61 |     0.43 |       6.528 |    0.542 |
| NGFS033452-355903 |    53.717955 |   -35.984151 | 03:34:52.31 | -35:59:02.94 |  22.66 |  -8.88 |     0.73 |       0.973 |    0.587 |
| NGFS033456-352741 |    53.732771 |   -35.461505 | 03:34:55.87 | -35:27:41.42 |  22.45 |  -9.09 |     0.59 |       2.217 |    0.581 |
| NGFS033457-354115 |    53.735651 |   -35.687366 | 03:34:56.56 | -35:41:14.52 |  21.53 | -10.01 |     0.73 |       3.135 |    0.557 |
| NGFS033458-351324 |    53.739835 |   -35.223450 | 03:34:57.56 | -35:13:24.42 |  19.23 | -12.31 |     1.00 |       5.662 |    0.498 |
|            FCC144 |    53.750845 |   -35.322295 | 03:35:00.20 | -35:19:20.26 |  18.75 | -12.79 |     0.81 |       6.046 |    0.485 |
| NGFS033505-352703 |    53.772229 |   -35.450817 | 03:35:05.33 | -35:27:02.94 |  20.01 | -11.53 |     0.77 |       8.571 |    0.518 |
|            FCC145 |    53.772831 |   -35.218592 | 03:35:05.48 | -35:13:06.93 |  18.42 | -13.12 |     0.77 |       5.163 |    0.477 |
| NGFS033512-352603 |    53.799719 |   -35.434218 | 03:35:11.93 | -35:26:03.18 |  21.27 | -10.27 |     1.35 |       4.077 |    0.551 |
| NGFS033515-353012 |    53.814204 |   -35.503450 | 03:35:15.41 | -35:30:12.42 |  22.38 |  -9.16 |     0.08 |       5.184 |    0.579 |
|            FCC149 |    53.849200 |   -36.091600 | 03:35:23.81 | -36:05:29.76 |  19.40 | -12.14 |     0.68 |       6.278 |    0.502 |
| NGFS033526-361108 |    53.857306 |   -36.185438 | 03:35:25.75 | -36:11:07.58 |    nan |    nan |      nan |         nan |      nan |
|            FCC154 |    53.876525 |   -35.252294 | 03:35:30.37 | -35:15:08.26 |  18.39 | -13.15 |     0.87 |      11.183 |    0.476 |
|            FCC155 |    53.891461 |   -34.804781 | 03:35:33.95 | -34:48:17.21 |  17.60 | -13.94 |     0.70 |       7.732 |    0.456 |
| NGFS033538-350539 |    53.908864 |   -35.094240 | 03:35:38.13 | -35:05:39.26 |  21.99 |  -9.55 |     0.69 |       2.067 |    0.569 |
|            FCC156 |    53.928093 |   -35.338458 | 03:35:42.74 | -35:20:18.45 |  16.58 | -14.96 |     0.89 |      12.682 |    0.429 |
| NGFS033543-355051 |    53.929432 |   -35.847585 | 03:35:43.06 | -35:50:51.31 |  20.09 | -11.45 |     0.64 |       5.499 |    0.520 |
| NGFS033547-352142 |    53.947250 |   -35.361778 | 03:35:47.34 | -35:21:42.40 |  20.87 | -10.67 |     1.06 |       3.821 |    0.540 |
| NGFS033550-354229 |    53.956502 |   -35.708022 | 03:35:49.56 | -35:42:28.88 |  22.29 |  -9.25 |     1.20 |       1.089 |    0.577 |
| NGFS033552-345517 |    53.966222 |   -34.921440 | 03:35:51.89 | -34:55:17.18 |  21.92 |  -9.62 |     0.91 |       1.633 |    0.567 |
| NGFS033556-351740 |    53.982985 |   -35.294459 | 03:35:55.92 | -35:17:40.05 |    nan |    nan |      nan |         nan |      nan |
|            FCC159 |    53.981764 |   -34.828508 | 03:35:55.62 | -34:49:42.63 |  17.55 | -13.99 |     0.75 |      13.644 |    0.454 |
| NGFS033557-343756 |    53.987937 |   -34.632328 | 03:35:57.10 | -34:37:56.38 |  18.68 | -12.86 |     1.01 |       6.188 |    0.484 |
