CGF_4-1    3 38 06.54  -35 26 24.4  dEN       14.88    1.1  0.7  18.90  0.92  20.34                      20.48  6.74  n
CGF_3-7    3 38 06.58  -35 29 08.9  Sb        18.52 n  1.6  1.1  21.26                                   22.38  3.24  b
CGF_3-15   3 38 07.71  -35 27 59.2  S?        20.00    1.5  1.0  21.35                                   21.35  0.93  e
CGF_4-4    3 38 09.43  -35 25 43.0  E         18.92    1.2  0.7  20.39  0.28  14.37  0.00  13.38   1.21               
CGF_4-12   3 38 12.70  -35 26 15.0  S         20.10 n  1.4  1.0  20.99                                   19.95  0.67  d
CGF_4-7    3 38 13.10  -35 25 30.6  S0/E?     19.44 n  0.8              0.52  19.21  0.16  14.00   1.33  21.52  1.28  b
CGF_3-3    3 38 13.70  -35 30 57.4  S         17.31    2.7  2.3  20.86                                   21.21  4.49  b
CGF_4-6    3 38 15.02  -35 27 33.5  S         19.16 n  1.4  1.0  20.95                                   22.22  2.60  b
CGF_3-13   3 38 16.61  -35 30 11.0  Sc(pec)   19.48 n  2.9  2.5  21.63                                   21.59  2.22  e
CGF_3-1    3 38 16.67  -35 30 27.9  dE        16.97 n  4.8  4.5  21.73  1.09  22.19                      22.11  5.31  d
CGF_4-8    3 38 17.78  -35 26 43.7  Sb?       19.95 n  1.1  0.7  20.74                          
CGF_3-2    3 38 18.71  -35 31 52.1  dEN       17.21    0.9              1.18  23.05                      22.98  6.57  n
CGF_3-11   3 38 21.30  -35 28 50.3  S?        19.05    2.5  2.1  21.76                                   22.15  2.30  e
CGF_3-6    3 38 21.79  -35 32 58.0  Sa        18.33    0.9                                               21.74  2.61  b
CGF_3-12   3 38 23.07  -35 28 07.2  Sc?       19.27 n  2.0  1.6  21.31                                   20.95  1.15  e
CGF_4-2    3 38 23.49  -35 24 06.4  Sa        17.46    1.4  1.0  20.34                                   21.02  2.41  b
CGF_3-4    3 38 25.83  -35 33 28.4  ring?     17.95    0.9                                               21.42  1.95 
CGF_4-9    3 38 26.36  -35 26 50.8  S/Irr?    20.05 n  0.9  0.4  20.00                                   21.83  1.68  b
CGF_4-5    3 38 26.39  -35 26 49.0  Irr/S?    19.11 n  2.8  2.5  21.56                                   21.91  2.63  d
CGF_3-14   3 38 27.66  -35 28 50.7  E/S0?     19.89    1.1  0.5  20.39  0.19  12.72  0.00  15.40   2.15  21.32  1.00  
CGF_1-32   3 38 28.68  -35 28 47.1  Irr?      20.47 n  1.1  0.7  21.19                          
CGF_1-11   3 38 28.89  -35 28 24.6  S0        18.74 n  0.7                                               20.25  0.90  e
CGF_1-8    3 38 29.08  -35 27 43.5  S0?       18.38 n  1.1  0.7  20.02                                   20.57  1.43  b
CGF_1-1    3 38 29.16  -35 28 08.6  E(cD)     16.28 n  1.2  0.8  18.34  0.09   3.48  0.00  14.60   5.16                
CGF_1-20   3 38 29.38  -35 29 03.0  E         19.60    0.6              0.28  14.78  0.00  13.81   1.03               
CGF_2-3    3 38 32.17  -35 24 30.2  E/S0      18.35    0.6              0.70  19.54  0.44  13.16   1.10  20.58  1.11  
CGF_1-15   3 38 32.96  -35 30 12.4  E         19.09 n  0.6              0.21  15.34  0.00  16.46   4.51               
CGF_1-18   3 38 35.93  -35 31 13.5  Sb        19.16 n  1.8  1.4  21.40                                   21.26  1.58  e
CGF_1-37   3 38 37.07  -35 27 09.2  S?        20.66 n  0.9  0.4  21.47                                   22.56  1.09  e
CGF_2-28   3 38 39.38  -35 24 30.8  dI(S0?)   20.44 n  1.1  0.7  21.56                                   22.05  1.28  e
CGF_2-9    3 38 40.58  -35 20 24.5  Sbc       19.16 n  1.1  0.7  20.35                                   20.86  1.39  d
CGF_1-9    3 38 40.93  -35 27 26.7  S0?       18.48    0.6                                               20.81  1.15  b
CGF_1-12   3 38 41.61  -35 27 25.1  Sa?       18.83 n  0.8  0.3  19.12                                   21.10  1.61  b
CGF_2-25   3 38 41.61  -35 20 15.6  E         20.40    0.7              0.22  13.27  0.00  14.46   0.91               
CGF_1-5    3 38 42.02  -35 27  2.0  S?        17.99    1.0  0.6  19.67                                   19.63  1.27  b
CGF_1-44   3 38 42.26  -35 33 08.2  dE        20.88 n  2.0  1.7  23.08  1.40  24.36                      23.97  3.16  e
CGF_1-27   3 38 42.52  -35 30 49.2  S         20.35    0.9  0.5  20.77                                   21.52  0.96  e
CGF_2-1    3 38 43.61  -35 25 35.6  Sa        17.66    0.9  0.4  19.00                                   20.85  3.91  b
CGF_2-24   3 38 44.67  -35 22 02.1  E?        20.20    0.6              0.23  16.99  0.00  16.23   2.19     
